"MTU (CET/CEST)","Area","Sequence","Day-ahead Price (EUR/MWh)","Intraday Period (CET/CEST)","Intraday Price (EUR/MWh)"
"01/01/2018 00:00:00 - 01/01/2018 01:00:00","BZN|IT-North","Without sequence","45.73","",""
"01/01/2018 01:00:00 - 01/01/2018 02:00:00","BZN|IT-North","Without sequence","44.16","",""
"01/01/2018 02:00:00 - 01/01/2018 03:00:00","BZN|IT-North","Without sequence","42.24","",""
"01/01/2018 03:00:00 - 01/01/2018 04:00:00","BZN|IT-North","Without sequence","39.29","",""
"01/01/2018 04:00:00 - 01/01/2018 05:00:00","BZN|IT-North","Without sequence","36.0","",""
"01/01/2018 05:00:00 - 01/01/2018 06:00:00","BZN|IT-North","Without sequence","41.99","",""
"01/01/2018 06:00:00 - 01/01/2018 07:00:00","BZN|IT-North","Without sequence","42.25","",""
"01/01/2018 07:00:00 - 01/01/2018 08:00:00","BZN|IT-North","Without sequence","44.97","",""
"01/01/2018 08:00:00 - 01/01/2018 09:00:00","BZN|IT-North","Without sequence","45.0","",""
"01/01/2018 09:00:00 - 01/01/2018 10:00:00","BZN|IT-North","Without sequence","44.94","",""
"01/01/2018 10:00:00 - 01/01/2018 11:00:00","BZN|IT-North","Without sequence","45.04","",""
"01/01/2018 11:00:00 - 01/01/2018 12:00:00","BZN|IT-North","Without sequence","46.67","",""
"01/01/2018 12:00:00 - 01/01/2018 13:00:00","BZN|IT-North","Without sequence","46.99","",""
"01/01/2018 13:00:00 - 01/01/2018 14:00:00","BZN|IT-North","Without sequence","44.16","",""
"01/01/2018 14:00:00 - 01/01/2018 15:00:00","BZN|IT-North","Without sequence","45.26","",""
"01/01/2018 15:00:00 - 01/01/2018 16:00:00","BZN|IT-North","Without sequence","47.84","",""
"01/01/2018 16:00:00 - 01/01/2018 17:00:00","BZN|IT-North","Without sequence","50.1","",""
"01/01/2018 17:00:00 - 01/01/2018 18:00:00","BZN|IT-North","Without sequence","54.3","",""
"01/01/2018 18:00:00 - 01/01/2018 19:00:00","BZN|IT-North","Without sequence","51.91","",""
"01/01/2018 19:00:00 - 01/01/2018 20:00:00","BZN|IT-North","Without sequence","51.38","",""
"01/01/2018 20:00:00 - 01/01/2018 21:00:00","BZN|IT-North","Without sequence","49.2","",""
"01/01/2018 21:00:00 - 01/01/2018 22:00:00","BZN|IT-North","Without sequence","45.73","",""
"01/01/2018 22:00:00 - 01/01/2018 23:00:00","BZN|IT-North","Without sequence","44.84","",""
"01/01/2018 23:00:00 - 02/01/2018 00:00:00","BZN|IT-North","Without sequence","38.11","",""
"02/01/2018 00:00:00 - 02/01/2018 01:00:00","BZN|IT-North","Without sequence","19.19","",""
"02/01/2018 01:00:00 - 02/01/2018 02:00:00","BZN|IT-North","Without sequence","14.99","",""
"02/01/2018 02:00:00 - 02/01/2018 03:00:00","BZN|IT-North","Without sequence","11.0","",""
"02/01/2018 03:00:00 - 02/01/2018 04:00:00","BZN|IT-North","Without sequence","10.0","",""
"02/01/2018 04:00:00 - 02/01/2018 05:00:00","BZN|IT-North","Without sequence","11.83","",""
"02/01/2018 05:00:00 - 02/01/2018 06:00:00","BZN|IT-North","Without sequence","14.99","",""
"02/01/2018 06:00:00 - 02/01/2018 07:00:00","BZN|IT-North","Without sequence","40.6","",""
"02/01/2018 07:00:00 - 02/01/2018 08:00:00","BZN|IT-North","Without sequence","46.99","",""
"02/01/2018 08:00:00 - 02/01/2018 09:00:00","BZN|IT-North","Without sequence","47.95","",""
"02/01/2018 09:00:00 - 02/01/2018 10:00:00","BZN|IT-North","Without sequence","49.9","",""
"02/01/2018 10:00:00 - 02/01/2018 11:00:00","BZN|IT-North","Without sequence","50.0","",""
"02/01/2018 11:00:00 - 02/01/2018 12:00:00","BZN|IT-North","Without sequence","49.7","",""
"02/01/2018 12:00:00 - 02/01/2018 13:00:00","BZN|IT-North","Without sequence","48.16","",""
"02/01/2018 13:00:00 - 02/01/2018 14:00:00","BZN|IT-North","Without sequence","47.24","",""
"02/01/2018 14:00:00 - 02/01/2018 15:00:00","BZN|IT-North","Without sequence","46.1","",""
"02/01/2018 15:00:00 - 02/01/2018 16:00:00","BZN|IT-North","Without sequence","47.6","",""
"02/01/2018 16:00:00 - 02/01/2018 17:00:00","BZN|IT-North","Without sequence","50.45","",""
"02/01/2018 17:00:00 - 02/01/2018 18:00:00","BZN|IT-North","Without sequence","54.9","",""
"02/01/2018 18:00:00 - 02/01/2018 19:00:00","BZN|IT-North","Without sequence","57.18","",""
"02/01/2018 19:00:00 - 02/01/2018 20:00:00","BZN|IT-North","Without sequence","54.9","",""
"02/01/2018 20:00:00 - 02/01/2018 21:00:00","BZN|IT-North","Without sequence","51.2","",""
"02/01/2018 21:00:00 - 02/01/2018 22:00:00","BZN|IT-North","Without sequence","48.82","",""
"02/01/2018 22:00:00 - 02/01/2018 23:00:00","BZN|IT-North","Without sequence","45.14","",""
"02/01/2018 23:00:00 - 03/01/2018 00:00:00","BZN|IT-North","Without sequence","40.09","",""
"03/01/2018 00:00:00 - 03/01/2018 01:00:00","BZN|IT-North","Without sequence","42.75","",""
"03/01/2018 01:00:00 - 03/01/2018 02:00:00","BZN|IT-North","Without sequence","35.02","",""
"03/01/2018 02:00:00 - 03/01/2018 03:00:00","BZN|IT-North","Without sequence","28.85","",""
"03/01/2018 03:00:00 - 03/01/2018 04:00:00","BZN|IT-North","Without sequence","28.0","",""
"03/01/2018 04:00:00 - 03/01/2018 05:00:00","BZN|IT-North","Without sequence","35.02","",""
"03/01/2018 05:00:00 - 03/01/2018 06:00:00","BZN|IT-North","Without sequence","44.49","",""
"03/01/2018 06:00:00 - 03/01/2018 07:00:00","BZN|IT-North","Without sequence","50.65","",""
"03/01/2018 07:00:00 - 03/01/2018 08:00:00","BZN|IT-North","Without sequence","67.0","",""
"03/01/2018 08:00:00 - 03/01/2018 09:00:00","BZN|IT-North","Without sequence","70.0","",""
"03/01/2018 09:00:00 - 03/01/2018 10:00:00","BZN|IT-North","Without sequence","68.0","",""
"03/01/2018 10:00:00 - 03/01/2018 11:00:00","BZN|IT-North","Without sequence","55.7","",""
"03/01/2018 11:00:00 - 03/01/2018 12:00:00","BZN|IT-North","Without sequence","53.3","",""
"03/01/2018 12:00:00 - 03/01/2018 13:00:00","BZN|IT-North","Without sequence","52.61","",""
"03/01/2018 13:00:00 - 03/01/2018 14:00:00","BZN|IT-North","Without sequence","50.65","",""
"03/01/2018 14:00:00 - 03/01/2018 15:00:00","BZN|IT-North","Without sequence","53.3","",""
"03/01/2018 15:00:00 - 03/01/2018 16:00:00","BZN|IT-North","Without sequence","54.9","",""
"03/01/2018 16:00:00 - 03/01/2018 17:00:00","BZN|IT-North","Without sequence","59.0","",""
"03/01/2018 17:00:00 - 03/01/2018 18:00:00","BZN|IT-North","Without sequence","70.0","",""
"03/01/2018 18:00:00 - 03/01/2018 19:00:00","BZN|IT-North","Without sequence","67.18","",""
"03/01/2018 19:00:00 - 03/01/2018 20:00:00","BZN|IT-North","Without sequence","62.6","",""
"03/01/2018 20:00:00 - 03/01/2018 21:00:00","BZN|IT-North","Without sequence","57.71","",""
"03/01/2018 21:00:00 - 03/01/2018 22:00:00","BZN|IT-North","Without sequence","53.3","",""
"03/01/2018 22:00:00 - 03/01/2018 23:00:00","BZN|IT-North","Without sequence","49.7","",""
"03/01/2018 23:00:00 - 04/01/2018 00:00:00","BZN|IT-North","Without sequence","44.15","",""
"04/01/2018 00:00:00 - 04/01/2018 01:00:00","BZN|IT-North","Without sequence","32.5","",""
