"MTU (CET/CEST)","Area","Sequence","Day-ahead Price (EUR/MWh)","Intraday Period (CET/CEST)","Intraday Price (EUR/MWh)"
"01/01/2022 00:00:00 - 01/01/2022 01:00:00","BZN|CH","Without sequence","119.97","",""
"01/01/2022 01:00:00 - 01/01/2022 02:00:00","BZN|CH","Without sequence","101.54","",""
"01/01/2022 02:00:00 - 01/01/2022 03:00:00","BZN|CH","Without sequence","52.13","",""
"01/01/2022 03:00:00 - 01/01/2022 04:00:00","BZN|CH","Without sequence","20.78","",""
"01/01/2022 04:00:00 - 01/01/2022 05:00:00","BZN|CH","Without sequence","15.66","",""
"01/01/2022 05:00:00 - 01/01/2022 06:00:00","BZN|CH","Without sequence","21.47","",""
"01/01/2022 06:00:00 - 01/01/2022 07:00:00","BZN|CH","Without sequence","29.89","",""
"01/01/2022 07:00:00 - 01/01/2022 08:00:00","BZN|CH","Without sequence","95.33","",""
"01/01/2022 08:00:00 - 01/01/2022 09:00:00","BZN|CH","Without sequence","95.36","",""
"01/01/2022 09:00:00 - 01/01/2022 10:00:00","BZN|CH","Without sequence","95.43","",""
"01/01/2022 10:00:00 - 01/01/2022 11:00:00","BZN|CH","Without sequence","68.42","",""
"01/01/2022 11:00:00 - 01/01/2022 12:00:00","BZN|CH","Without sequence","60.88","",""
"01/01/2022 12:00:00 - 01/01/2022 13:00:00","BZN|CH","Without sequence","70.72","",""
"01/01/2022 13:00:00 - 01/01/2022 14:00:00","BZN|CH","Without sequence","74.99","",""
"01/01/2022 14:00:00 - 01/01/2022 15:00:00","BZN|CH","Without sequence","87.46","",""
"01/01/2022 15:00:00 - 01/01/2022 16:00:00","BZN|CH","Without sequence","100.16","",""
"01/01/2022 16:00:00 - 01/01/2022 17:00:00","BZN|CH","Without sequence","120.09","",""
"01/01/2022 17:00:00 - 01/01/2022 18:00:00","BZN|CH","Without sequence","148.89","",""
"01/01/2022 18:00:00 - 01/01/2022 19:00:00","BZN|CH","Without sequence","142.3","",""
"01/01/2022 19:00:00 - 01/01/2022 20:00:00","BZN|CH","Without sequence","137.76","",""
"01/01/2022 20:00:00 - 01/01/2022 21:00:00","BZN|CH","Without sequence","128.55","",""
"01/01/2022 21:00:00 - 01/01/2022 22:00:00","BZN|CH","Without sequence","140.62","",""
"01/01/2022 22:00:00 - 01/01/2022 23:00:00","BZN|CH","Without sequence","144.49","",""
"01/01/2022 23:00:00 - 02/01/2022 00:00:00","BZN|CH","Without sequence","141.77","",""
"02/01/2022 00:00:00 - 02/01/2022 01:00:00","BZN|CH","Without sequence","88.51","",""
"02/01/2022 01:00:00 - 02/01/2022 02:00:00","BZN|CH","Without sequence","75.04","",""
"02/01/2022 02:00:00 - 02/01/2022 03:00:00","BZN|CH","Without sequence","45.38","",""
"02/01/2022 03:00:00 - 02/01/2022 04:00:00","BZN|CH","Without sequence","23.7","",""
"02/01/2022 04:00:00 - 02/01/2022 05:00:00","BZN|CH","Without sequence","15.84","",""
"02/01/2022 05:00:00 - 02/01/2022 06:00:00","BZN|CH","Without sequence","23.98","",""
"02/01/2022 06:00:00 - 02/01/2022 07:00:00","BZN|CH","Without sequence","35.88","",""
"02/01/2022 07:00:00 - 02/01/2022 08:00:00","BZN|CH","Without sequence","49.0","",""
"02/01/2022 08:00:00 - 02/01/2022 09:00:00","BZN|CH","Without sequence","75.05","",""
"02/01/2022 09:00:00 - 02/01/2022 10:00:00","BZN|CH","Without sequence","86.01","",""
"02/01/2022 10:00:00 - 02/01/2022 11:00:00","BZN|CH","Without sequence","75.92","",""
"02/01/2022 11:00:00 - 02/01/2022 12:00:00","BZN|CH","Without sequence","69.91","",""
"02/01/2022 12:00:00 - 02/01/2022 13:00:00","BZN|CH","Without sequence","75.04","",""
"02/01/2022 13:00:00 - 02/01/2022 14:00:00","BZN|CH","Without sequence","48.76","",""
"02/01/2022 14:00:00 - 02/01/2022 15:00:00","BZN|CH","Without sequence","58.25","",""
"02/01/2022 15:00:00 - 02/01/2022 16:00:00","BZN|CH","Without sequence","86.25","",""
"02/01/2022 16:00:00 - 02/01/2022 17:00:00","BZN|CH","Without sequence","91.51","",""
"02/01/2022 17:00:00 - 02/01/2022 18:00:00","BZN|CH","Without sequence","126.25","",""
"02/01/2022 18:00:00 - 02/01/2022 19:00:00","BZN|CH","Without sequence","125.88","",""
"02/01/2022 19:00:00 - 02/01/2022 20:00:00","BZN|CH","Without sequence","110.73","",""
"02/01/2022 20:00:00 - 02/01/2022 21:00:00","BZN|CH","Without sequence","90.9","",""
"02/01/2022 21:00:00 - 02/01/2022 22:00:00","BZN|CH","Without sequence","89.78","",""
"02/01/2022 22:00:00 - 02/01/2022 23:00:00","BZN|CH","Without sequence","89.44","",""
"02/01/2022 23:00:00 - 03/01/2022 00:00:00","BZN|CH","Without sequence","87.38","",""
"03/01/2022 00:00:00 - 03/01/2022 01:00:00","BZN|CH","Without sequence","62.55","",""
"03/01/2022 01:00:00 - 03/01/2022 02:00:00","BZN|CH","Without sequence","9.66","",""
"03/01/2022 02:00:00 - 03/01/2022 03:00:00","BZN|CH","Without sequence","16.68","",""
"03/01/2022 03:00:00 - 03/01/2022 04:00:00","BZN|CH","Without sequence","0.95","",""
"03/01/2022 04:00:00 - 03/01/2022 05:00:00","BZN|CH","Without sequence","9.05","",""
"03/01/2022 05:00:00 - 03/01/2022 06:00:00","BZN|CH","Without sequence","78.6","",""
"03/01/2022 06:00:00 - 03/01/2022 07:00:00","BZN|CH","Without sequence","141.86","",""
"03/01/2022 07:00:00 - 03/01/2022 08:00:00","BZN|CH","Without sequence","199.4","",""
"03/01/2022 08:00:00 - 03/01/2022 09:00:00","BZN|CH","Without sequence","214.58","",""
"03/01/2022 09:00:00 - 03/01/2022 10:00:00","BZN|CH","Without sequence","215.73","",""
"03/01/2022 10:00:00 - 03/01/2022 11:00:00","BZN|CH","Without sequence","211.58","",""
"03/01/2022 11:00:00 - 03/01/2022 12:00:00","BZN|CH","Without sequence","206.34","",""
"03/01/2022 12:00:00 - 03/01/2022 13:00:00","BZN|CH","Without sequence","194.83","",""
"03/01/2022 13:00:00 - 03/01/2022 14:00:00","BZN|CH","Without sequence","191.96","",""
"03/01/2022 14:00:00 - 03/01/2022 15:00:00","BZN|CH","Without sequence","204.1","",""
"03/01/2022 15:00:00 - 03/01/2022 16:00:00","BZN|CH","Without sequence","207.37","",""
"03/01/2022 16:00:00 - 03/01/2022 17:00:00","BZN|CH","Without sequence","224.46","",""
"03/01/2022 17:00:00 - 03/01/2022 18:00:00","BZN|CH","Without sequence","220.21","",""
"03/01/2022 18:00:00 - 03/01/2022 19:00:00","BZN|CH","Without sequence","214.11","",""
"03/01/2022 19:00:00 - 03/01/2022 20:00:00","BZN|CH","Without sequence","204.11","",""
"03/01/2022 20:00:00 - 03/01/2022 21:00:00","BZN|CH","Without sequence","201.1","",""
"03/01/2022 21:00:00 - 03/01/2022 22:00:00","BZN|CH","Without sequence","196.13","",""
