"MTU (CET/CEST)","Area","Sequence","Day-ahead Price (EUR/MWh)","Intraday Period (CET/CEST)","Intraday Price (EUR/MWh)"
"01/01/2023 00:00:00 - 01/01/2023 01:00:00","BZN|CH","Without sequence","0.03","",""
"01/01/2023 01:00:00 - 01/01/2023 02:00:00","BZN|CH","Without sequence","-7.25","",""
"01/01/2023 02:00:00 - 01/01/2023 03:00:00","BZN|CH","Without sequence","-3.99","",""
"01/01/2023 03:00:00 - 01/01/2023 04:00:00","BZN|CH","Without sequence","-7.71","",""
"01/01/2023 04:00:00 - 01/01/2023 05:00:00","BZN|CH","Without sequence","-9.71","",""
"01/01/2023 05:00:00 - 01/01/2023 06:00:00","BZN|CH","Without sequence","-15.15","",""
"01/01/2023 06:00:00 - 01/01/2023 07:00:00","BZN|CH","Without sequence","-14.33","",""
"01/01/2023 07:00:00 - 01/01/2023 08:00:00","BZN|CH","Without sequence","-0.66","",""
"01/01/2023 08:00:00 - 01/01/2023 09:00:00","BZN|CH","Without sequence","0.02","",""
"01/01/2023 09:00:00 - 01/01/2023 10:00:00","BZN|CH","Without sequence","-1.23","",""
"01/01/2023 10:00:00 - 01/01/2023 11:00:00","BZN|CH","Without sequence","-6.11","",""
"01/01/2023 11:00:00 - 01/01/2023 12:00:00","BZN|CH","Without sequence","0.28","",""
"01/01/2023 12:00:00 - 01/01/2023 13:00:00","BZN|CH","Without sequence","2.96","",""
"01/01/2023 13:00:00 - 01/01/2023 14:00:00","BZN|CH","Without sequence","-0.79","",""
"01/01/2023 14:00:00 - 01/01/2023 15:00:00","BZN|CH","Without sequence","3.06","",""
"01/01/2023 15:00:00 - 01/01/2023 16:00:00","BZN|CH","Without sequence","9.53","",""
"01/01/2023 16:00:00 - 01/01/2023 17:00:00","BZN|CH","Without sequence","19.95","",""
"01/01/2023 17:00:00 - 01/01/2023 18:00:00","BZN|CH","Without sequence","30.46","",""
"01/01/2023 18:00:00 - 01/01/2023 19:00:00","BZN|CH","Without sequence","34.39","",""
"01/01/2023 19:00:00 - 01/01/2023 20:00:00","BZN|CH","Without sequence","35.15","",""
"01/01/2023 20:00:00 - 01/01/2023 21:00:00","BZN|CH","Without sequence","29.57","",""
"01/01/2023 21:00:00 - 01/01/2023 22:00:00","BZN|CH","Without sequence","24.92","",""
"01/01/2023 22:00:00 - 01/01/2023 23:00:00","BZN|CH","Without sequence","20.72","",""
"01/01/2023 23:00:00 - 02/01/2023 00:00:00","BZN|CH","Without sequence","13.46","",""
"02/01/2023 00:00:00 - 02/01/2023 01:00:00","BZN|CH","Without sequence","40.37","",""
"02/01/2023 01:00:00 - 02/01/2023 02:00:00","BZN|CH","Without sequence","29.23","",""
"02/01/2023 02:00:00 - 02/01/2023 03:00:00","BZN|CH","Without sequence","22.28","",""
"02/01/2023 03:00:00 - 02/01/2023 04:00:00","BZN|CH","Without sequence","14.17","",""
"02/01/2023 04:00:00 - 02/01/2023 05:00:00","BZN|CH","Without sequence","24.94","",""
"02/01/2023 05:00:00 - 02/01/2023 06:00:00","BZN|CH","Without sequence","48.84","",""
"02/01/2023 06:00:00 - 02/01/2023 07:00:00","BZN|CH","Without sequence","74.52","",""
"02/01/2023 07:00:00 - 02/01/2023 08:00:00","BZN|CH","Without sequence","112.32","",""
"02/01/2023 08:00:00 - 02/01/2023 09:00:00","BZN|CH","Without sequence","123.03","",""
"02/01/2023 09:00:00 - 02/01/2023 10:00:00","BZN|CH","Without sequence","125.92","",""
"02/01/2023 10:00:00 - 02/01/2023 11:00:00","BZN|CH","Without sequence","127.31","",""
"02/01/2023 11:00:00 - 02/01/2023 12:00:00","BZN|CH","Without sequence","125.47","",""
"02/01/2023 12:00:00 - 02/01/2023 13:00:00","BZN|CH","Without sequence","129.43","",""
"02/01/2023 13:00:00 - 02/01/2023 14:00:00","BZN|CH","Without sequence","120.34","",""
"02/01/2023 14:00:00 - 02/01/2023 15:00:00","BZN|CH","Without sequence","132.27","",""
"02/01/2023 15:00:00 - 02/01/2023 16:00:00","BZN|CH","Without sequence","136.2","",""
"02/01/2023 16:00:00 - 02/01/2023 17:00:00","BZN|CH","Without sequence","145.91","",""
"02/01/2023 17:00:00 - 02/01/2023 18:00:00","BZN|CH","Without sequence","153.85","",""
"02/01/2023 18:00:00 - 02/01/2023 19:00:00","BZN|CH","Without sequence","161.43","",""
"02/01/2023 19:00:00 - 02/01/2023 20:00:00","BZN|CH","Without sequence","154.75","",""
"02/01/2023 20:00:00 - 02/01/2023 21:00:00","BZN|CH","Without sequence","148.62","",""
"02/01/2023 21:00:00 - 02/01/2023 22:00:00","BZN|CH","Without sequence","134.97","",""
"02/01/2023 22:00:00 - 02/01/2023 23:00:00","BZN|CH","Without sequence","121.01","",""
"02/01/2023 23:00:00 - 03/01/2023 00:00:00","BZN|CH","Without sequence","112.1","",""
"03/01/2023 00:00:00 - 03/01/2023 01:00:00","BZN|CH","Without sequence","119.17","",""
"03/01/2023 01:00:00 - 03/01/2023 02:00:00","BZN|CH","Without sequence","113.38","",""
"03/01/2023 02:00:00 - 03/01/2023 03:00:00","BZN|CH","Without sequence","108.94","",""
"03/01/2023 03:00:00 - 03/01/2023 04:00:00","BZN|CH","Without sequence","101.05","",""
"03/01/2023 04:00:00 - 03/01/2023 05:00:00","BZN|CH","Without sequence","105.86","",""
"03/01/2023 05:00:00 - 03/01/2023 06:00:00","BZN|CH","Without sequence","119.07","",""
"03/01/2023 06:00:00 - 03/01/2023 07:00:00","BZN|CH","Without sequence","156.05","",""
"03/01/2023 07:00:00 - 03/01/2023 08:00:00","BZN|CH","Without sequence","183.96","",""
"03/01/2023 08:00:00 - 03/01/2023 09:00:00","BZN|CH","Without sequence","185.2","",""
"03/01/2023 09:00:00 - 03/01/2023 10:00:00","BZN|CH","Without sequence","186.56","",""
"03/01/2023 10:00:00 - 03/01/2023 11:00:00","BZN|CH","Without sequence","184.08","",""
"03/01/2023 11:00:00 - 03/01/2023 12:00:00","BZN|CH","Without sequence","179.02","",""
"03/01/2023 12:00:00 - 03/01/2023 13:00:00","BZN|CH","Without sequence","171.42","",""
"03/01/2023 13:00:00 - 03/01/2023 14:00:00","BZN|CH","Without sequence","167.95","",""
"03/01/2023 14:00:00 - 03/01/2023 15:00:00","BZN|CH","Without sequence","170.04","",""
"03/01/2023 15:00:00 - 03/01/2023 16:00:00","BZN|CH","Without sequence","171.8","",""
"03/01/2023 16:00:00 - 03/01/2023 17:00:00","BZN|CH","Without sequence","172.47","",""
"03/01/2023 17:00:00 - 03/01/2023 18:00:00","BZN|CH","Without sequence","186.24","",""
"03/01/2023 18:00:00 - 03/01/2023 19:00:00","BZN|CH","Without sequence","180.86","",""
"03/01/2023 19:00:00 - 03/01/2023 20:00:00","BZN|CH","Without sequence","171.49","",""
"03/01/2023 20:00:00 - 03/01/2023 21:00:00","BZN|CH","Without sequence","158.72","",""
"03/01/2023 21:00:00 - 03/01/2023 22:00:00","BZN|CH","Without sequence","147.74","",""
"03/01/2023 22:00:00 - 03/01/2023 23:00:00","BZN|CH","Without sequence","141.58","",""
"03/01/2023 23:00:00 - 04/01/2023 00:00:00","BZN|CH","Without sequence","113.49","",""
"04/01/2023 00:00:00 - 04/01/2023 01:00:00","BZN|CH","Without sequence","121.55","",""
"04/01/2023 01:00:00 - 04/01/2023 02:00:00","BZN|CH","Without sequence","104.19","",""
"04/01/2023 02:00:00 - 04/01/2023 03:00:00","BZN|CH","Without sequence","88.65","",""
"04/01/2023 03:00:00 - 04/01/2023 04:00:00","BZN|CH","Without sequence","84.82","",""
