"MTU (CET/CEST)","Area","Sequence","Day-ahead Price (EUR/MWh)","Intraday Period (CET/CEST)","Intraday Price (EUR/MWh)"
"01/01/2017 00:00:00 - 01/01/2017 01:00:00","BZN|IT-North","Without sequence","53.0","",""
"01/01/2017 01:00:00 - 01/01/2017 02:00:00","BZN|IT-North","Without sequence","52.0","",""
"01/01/2017 02:00:00 - 01/01/2017 03:00:00","BZN|IT-North","Without sequence","51.0","",""
"01/01/2017 03:00:00 - 01/01/2017 04:00:00","BZN|IT-North","Without sequence","47.27","",""
"01/01/2017 04:00:00 - 01/01/2017 05:00:00","BZN|IT-North","Without sequence","45.49","",""
"01/01/2017 05:00:00 - 01/01/2017 06:00:00","BZN|IT-North","Without sequence","45.69","",""
"01/01/2017 06:00:00 - 01/01/2017 07:00:00","BZN|IT-North","Without sequence","48.07","",""
"01/01/2017 07:00:00 - 01/01/2017 08:00:00","BZN|IT-North","Without sequence","45.67","",""
"01/01/2017 08:00:00 - 01/01/2017 09:00:00","BZN|IT-North","Without sequence","45.48","",""
"01/01/2017 09:00:00 - 01/01/2017 10:00:00","BZN|IT-North","Without sequence","42.06","",""
"01/01/2017 10:00:00 - 01/01/2017 11:00:00","BZN|IT-North","Without sequence","46.86","",""
"01/01/2017 11:00:00 - 01/01/2017 12:00:00","BZN|IT-North","Without sequence","48.02","",""
"01/01/2017 12:00:00 - 01/01/2017 13:00:00","BZN|IT-North","Without sequence","49.57","",""
"01/01/2017 13:00:00 - 01/01/2017 14:00:00","BZN|IT-North","Without sequence","48.69","",""
"01/01/2017 14:00:00 - 01/01/2017 15:00:00","BZN|IT-North","Without sequence","46.91","",""
"01/01/2017 15:00:00 - 01/01/2017 16:00:00","BZN|IT-North","Without sequence","49.43","",""
"01/01/2017 16:00:00 - 01/01/2017 17:00:00","BZN|IT-North","Without sequence","50.45","",""
"01/01/2017 17:00:00 - 01/01/2017 18:00:00","BZN|IT-North","Without sequence","53.3","",""
"01/01/2017 18:00:00 - 01/01/2017 19:00:00","BZN|IT-North","Without sequence","59.07","",""
"01/01/2017 19:00:00 - 01/01/2017 20:00:00","BZN|IT-North","Without sequence","61.71","",""
"01/01/2017 20:00:00 - 01/01/2017 21:00:00","BZN|IT-North","Without sequence","56.26","",""
"01/01/2017 21:00:00 - 01/01/2017 22:00:00","BZN|IT-North","Without sequence","55.0","",""
"01/01/2017 22:00:00 - 01/01/2017 23:00:00","BZN|IT-North","Without sequence","54.0","",""
"01/01/2017 23:00:00 - 02/01/2017 00:00:00","BZN|IT-North","Without sequence","52.0","",""
"02/01/2017 00:00:00 - 02/01/2017 01:00:00","BZN|IT-North","Without sequence","53.0","",""
"02/01/2017 01:00:00 - 02/01/2017 02:00:00","BZN|IT-North","Without sequence","50.18","",""
"02/01/2017 02:00:00 - 02/01/2017 03:00:00","BZN|IT-North","Without sequence","49.11","",""
"02/01/2017 03:00:00 - 02/01/2017 04:00:00","BZN|IT-North","Without sequence","48.15","",""
"02/01/2017 04:00:00 - 02/01/2017 05:00:00","BZN|IT-North","Without sequence","48.41","",""
"02/01/2017 05:00:00 - 02/01/2017 06:00:00","BZN|IT-North","Without sequence","48.15","",""
"02/01/2017 06:00:00 - 02/01/2017 07:00:00","BZN|IT-North","Without sequence","52.0","",""
"02/01/2017 07:00:00 - 02/01/2017 08:00:00","BZN|IT-North","Without sequence","59.07","",""
"02/01/2017 08:00:00 - 02/01/2017 09:00:00","BZN|IT-North","Without sequence","64.15","",""
"02/01/2017 09:00:00 - 02/01/2017 10:00:00","BZN|IT-North","Without sequence","62.5","",""
"02/01/2017 10:00:00 - 02/01/2017 11:00:00","BZN|IT-North","Without sequence","61.7","",""
"02/01/2017 11:00:00 - 02/01/2017 12:00:00","BZN|IT-North","Without sequence","61.2","",""
"02/01/2017 12:00:00 - 02/01/2017 13:00:00","BZN|IT-North","Without sequence","55.69","",""
"02/01/2017 13:00:00 - 02/01/2017 14:00:00","BZN|IT-North","Without sequence","55.67","",""
"02/01/2017 14:00:00 - 02/01/2017 15:00:00","BZN|IT-North","Without sequence","61.19","",""
"02/01/2017 15:00:00 - 02/01/2017 16:00:00","BZN|IT-North","Without sequence","59.71","",""
"02/01/2017 16:00:00 - 02/01/2017 17:00:00","BZN|IT-North","Without sequence","60.96","",""
"02/01/2017 17:00:00 - 02/01/2017 18:00:00","BZN|IT-North","Without sequence","73.55","",""
"02/01/2017 18:00:00 - 02/01/2017 19:00:00","BZN|IT-North","Without sequence","77.42","",""
"02/01/2017 19:00:00 - 02/01/2017 20:00:00","BZN|IT-North","Without sequence","75.0","",""
"02/01/2017 20:00:00 - 02/01/2017 21:00:00","BZN|IT-North","Without sequence","70.11","",""
"02/01/2017 21:00:00 - 02/01/2017 22:00:00","BZN|IT-North","Without sequence","59.69","",""
"02/01/2017 22:00:00 - 02/01/2017 23:00:00","BZN|IT-North","Without sequence","54.0","",""
"02/01/2017 23:00:00 - 03/01/2017 00:00:00","BZN|IT-North","Without sequence","52.0","",""
"03/01/2017 00:00:00 - 03/01/2017 01:00:00","BZN|IT-North","Without sequence","50.56","",""
"03/01/2017 01:00:00 - 03/01/2017 02:00:00","BZN|IT-North","Without sequence","47.09","",""
"03/01/2017 02:00:00 - 03/01/2017 03:00:00","BZN|IT-North","Without sequence","44.43","",""
"03/01/2017 03:00:00 - 03/01/2017 04:00:00","BZN|IT-North","Without sequence","45.0","",""
"03/01/2017 04:00:00 - 03/01/2017 05:00:00","BZN|IT-North","Without sequence","45.18","",""
"03/01/2017 05:00:00 - 03/01/2017 06:00:00","BZN|IT-North","Without sequence","46.74","",""
"03/01/2017 06:00:00 - 03/01/2017 07:00:00","BZN|IT-North","Without sequence","55.0","",""
"03/01/2017 07:00:00 - 03/01/2017 08:00:00","BZN|IT-North","Without sequence","59.73","",""
"03/01/2017 08:00:00 - 03/01/2017 09:00:00","BZN|IT-North","Without sequence","61.81","",""
"03/01/2017 09:00:00 - 03/01/2017 10:00:00","BZN|IT-North","Without sequence","61.81","",""
"03/01/2017 10:00:00 - 03/01/2017 11:00:00","BZN|IT-North","Without sequence","61.94","",""
"03/01/2017 11:00:00 - 03/01/2017 12:00:00","BZN|IT-North","Without sequence","63.8","",""
"03/01/2017 12:00:00 - 03/01/2017 13:00:00","BZN|IT-North","Without sequence","57.49","",""
"03/01/2017 13:00:00 - 03/01/2017 14:00:00","BZN|IT-North","Without sequence","56.74","",""
"03/01/2017 14:00:00 - 03/01/2017 15:00:00","BZN|IT-North","Without sequence","60.0","",""
"03/01/2017 15:00:00 - 03/01/2017 16:00:00","BZN|IT-North","Without sequence","64.01","",""
"03/01/2017 16:00:00 - 03/01/2017 17:00:00","BZN|IT-North","Without sequence","68.94","",""
"03/01/2017 17:00:00 - 03/01/2017 18:00:00","BZN|IT-North","Without sequence","67.01","",""
"03/01/2017 18:00:00 - 03/01/2017 19:00:00","BZN|IT-North","Without sequence","61.99","",""
"03/01/2017 19:00:00 - 03/01/2017 20:00:00","BZN|IT-North","Without sequence","58.5","",""
"03/01/2017 20:00:00 - 03/01/2017 21:00:00","BZN|IT-North","Without sequence","60.0","",""
"03/01/2017 21:00:00 - 03/01/2017 22:00:00","BZN|IT-North","Without sequence","59.48","",""
"03/01/2017 22:00:00 - 03/01/2017 23:00:00","BZN|IT-North","Without sequence","63.0","",""
"03/01/2017 23:00:00 - 04/01/2017 00:00:00","BZN|IT-North","Without sequence","56.74","",""
"04/01/2017 00:00:00 - 04/01/2017 01:00:00","BZN|IT-North","Without sequence","62.36","",""
"04/01/2017 01:00:00 - 04/01/2017 02:00:00","BZN|IT-North","Without sequence","56.04","",""
"04/01/2017 02:00:00 - 04/01/2017 03:00:00","BZN|IT-North","Without sequence","54.1","",""
"04/01/2017 03:00:00 - 04/01/2017 04:00:00","BZN|IT-North","Without sequence","52.0","",""
"04/01/2017 04:00:00 - 04/01/2017 05:00:00","BZN|IT-North","Without sequence","51.36","",""
"04/01/2017 05:00:00 - 04/01/2017 06:00:00","BZN|IT-North","Without sequence","53.02","",""
"04/01/2017 06:00:00 - 04/01/2017 07:00:00","BZN|IT-North","Without sequence","62.4","",""
"04/01/2017 07:00:00 - 04/01/2017 08:00:00","BZN|IT-North","Without sequence","68.0","",""
"04/01/2017 08:00:00 - 04/01/2017 09:00:00","BZN|IT-North","Without sequence","73.01","",""
"04/01/2017 09:00:00 - 04/01/2017 10:00:00","BZN|IT-North","Without sequence","73.0","",""
"04/01/2017 10:00:00 - 04/01/2017 11:00:00","BZN|IT-North","Without sequence","72.85","",""
"04/01/2017 11:00:00 - 04/01/2017 12:00:00","BZN|IT-North","Without sequence","72.51","",""
"04/01/2017 12:00:00 - 04/01/2017 13:00:00","BZN|IT-North","Without sequence","66.42","",""
"04/01/2017 13:00:00 - 04/01/2017 14:00:00","BZN|IT-North","Without sequence","69.16","",""
"04/01/2017 14:00:00 - 04/01/2017 15:00:00","BZN|IT-North","Without sequence","69.0","",""
"04/01/2017 15:00:00 - 04/01/2017 16:00:00","BZN|IT-North","Without sequence","67.13","",""
"04/01/2017 16:00:00 - 04/01/2017 17:00:00","BZN|IT-North","Without sequence","68.26","",""
"04/01/2017 17:00:00 - 04/01/2017 18:00:00","BZN|IT-North","Without sequence","72.15","",""
"04/01/2017 18:00:00 - 04/01/2017 19:00:00","BZN|IT-North","Without sequence","76.8","",""
