"MTU (CET/CEST)","Area","Sequence","Day-ahead Price (EUR/MWh)","Intraday Period (CET/CEST)","Intraday Price (EUR/MWh)"
"03/01/2024 05:00:00 - 03/01/2024 06:00:00","BZN|IT-North","Without sequence","75.0","",""
"03/01/2024 06:00:00 - 03/01/2024 07:00:00","BZN|IT-North","Without sequence","95.46","",""
"03/01/2024 07:00:00 - 03/01/2024 08:00:00","BZN|IT-North","Without sequence","108.28","",""
"03/01/2024 08:00:00 - 03/01/2024 09:00:00","BZN|IT-North","Without sequence","115.53","",""
"03/01/2024 09:00:00 - 03/01/2024 10:00:00","BZN|IT-North","Without sequence","114.99","",""
"03/01/2024 10:00:00 - 03/01/2024 11:00:00","BZN|IT-North","Without sequence","109.3","",""
"03/01/2024 11:00:00 - 03/01/2024 12:00:00","BZN|IT-North","Without sequence","108.01","",""
"03/01/2024 12:00:00 - 03/01/2024 13:00:00","BZN|IT-North","Without sequence","94.96","",""
"03/01/2024 13:00:00 - 03/01/2024 14:00:00","BZN|IT-North","Without sequence","92.4","",""
"03/01/2024 14:00:00 - 03/01/2024 15:00:00","BZN|IT-North","Without sequence","97.57","",""
"03/01/2024 15:00:00 - 03/01/2024 16:00:00","BZN|IT-North","Without sequence","106.81","",""
"03/01/2024 16:00:00 - 03/01/2024 17:00:00","BZN|IT-North","Without sequence","110.0","",""
"03/01/2024 17:00:00 - 03/01/2024 18:00:00","BZN|IT-North","Without sequence","115.81","",""
"03/01/2024 18:00:00 - 03/01/2024 19:00:00","BZN|IT-North","Without sequence","115.81","",""
"03/01/2024 19:00:00 - 03/01/2024 20:00:00","BZN|IT-North","Without sequence","115.81","",""
"03/01/2024 20:00:00 - 03/01/2024 21:00:00","BZN|IT-North","Without sequence","109.0","",""
"03/01/2024 21:00:00 - 03/01/2024 22:00:00","BZN|IT-North","Without sequence","106.0","",""
"03/01/2024 22:00:00 - 03/01/2024 23:00:00","BZN|IT-North","Without sequence","101.46","",""
"03/01/2024 23:00:00 - 04/01/2024 00:00:00","BZN|IT-North","Without sequence","82.59","",""
"04/01/2024 00:00:00 - 04/01/2024 01:00:00","BZN|IT-North","Without sequence","74.19","",""
"04/01/2024 01:00:00 - 04/01/2024 02:00:00","BZN|IT-North","Without sequence","65.0","",""
"04/01/2024 02:00:00 - 04/01/2024 03:00:00","BZN|IT-North","Without sequence","40.0","",""
"04/01/2024 03:00:00 - 04/01/2024 04:00:00","BZN|IT-North","Without sequence","35.2","",""
"04/01/2024 04:00:00 - 04/01/2024 05:00:00","BZN|IT-North","Without sequence","49.39","",""
"04/01/2024 05:00:00 - 04/01/2024 06:00:00","BZN|IT-North","Without sequence","70.1","",""
"04/01/2024 06:00:00 - 04/01/2024 07:00:00","BZN|IT-North","Without sequence","97.61","",""
"04/01/2024 07:00:00 - 04/01/2024 08:00:00","BZN|IT-North","Without sequence","106.51","",""
"04/01/2024 08:00:00 - 04/01/2024 09:00:00","BZN|IT-North","Without sequence","110.0","",""
"04/01/2024 09:00:00 - 04/01/2024 10:00:00","BZN|IT-North","Without sequence","108.38","",""
"04/01/2024 10:00:00 - 04/01/2024 11:00:00","BZN|IT-North","Without sequence","97.83","",""
"04/01/2024 11:00:00 - 04/01/2024 12:00:00","BZN|IT-North","Without sequence","89.95","",""
"04/01/2024 12:00:00 - 04/01/2024 13:00:00","BZN|IT-North","Without sequence","86.21","",""
"04/01/2024 13:00:00 - 04/01/2024 14:00:00","BZN|IT-North","Without sequence","85.96","",""
"04/01/2024 14:00:00 - 04/01/2024 15:00:00","BZN|IT-North","Without sequence","92.11","",""
"04/01/2024 15:00:00 - 04/01/2024 16:00:00","BZN|IT-North","Without sequence","103.34","",""
"04/01/2024 16:00:00 - 04/01/2024 17:00:00","BZN|IT-North","Without sequence","110.02","",""
"04/01/2024 17:00:00 - 04/01/2024 18:00:00","BZN|IT-North","Without sequence","116.87","",""
"04/01/2024 18:00:00 - 04/01/2024 19:00:00","BZN|IT-North","Without sequence","118.1","",""
"04/01/2024 19:00:00 - 04/01/2024 20:00:00","BZN|IT-North","Without sequence","118.1","",""
"04/01/2024 20:00:00 - 04/01/2024 21:00:00","BZN|IT-North","Without sequence","112.99","",""
"04/01/2024 21:00:00 - 04/01/2024 22:00:00","BZN|IT-North","Without sequence","107.05","",""
"04/01/2024 22:00:00 - 04/01/2024 23:00:00","BZN|IT-North","Without sequence","105.59","",""
"04/01/2024 23:00:00 - 05/01/2024 00:00:00","BZN|IT-North","Without sequence","97.98","",""
"05/01/2024 00:00:00 - 05/01/2024 01:00:00","BZN|IT-North","Without sequence","86.08","",""
"05/01/2024 01:00:00 - 05/01/2024 02:00:00","BZN|IT-North","Without sequence","88.96","",""
"05/01/2024 02:00:00 - 05/01/2024 03:00:00","BZN|IT-North","Without sequence","78.5","",""
"05/01/2024 03:00:00 - 05/01/2024 04:00:00","BZN|IT-North","Without sequence","78.5","",""
"05/01/2024 04:00:00 - 05/01/2024 05:00:00","BZN|IT-North","Without sequence","79.39","",""
"05/01/2024 05:00:00 - 05/01/2024 06:00:00","BZN|IT-North","Without sequence","79.6","",""
"05/01/2024 06:00:00 - 05/01/2024 07:00:00","BZN|IT-North","Without sequence","103.46","",""
