"MTU (CET/CEST)","Area","Sequence","Day-ahead Price (EUR/MWh)","Intraday Period (CET/CEST)","Intraday Price (EUR/MWh)"
"05/01/2015 00:00:00 - 05/01/2015 01:00:00","BZN|IT-North","Without sequence","47.72","",""
"05/01/2015 01:00:00 - 05/01/2015 02:00:00","BZN|IT-North","Without sequence","39.1","",""
"05/01/2015 02:00:00 - 05/01/2015 03:00:00","BZN|IT-North","Without sequence","35.21","",""
"05/01/2015 03:00:00 - 05/01/2015 04:00:00","BZN|IT-North","Without sequence","32.43","",""
"05/01/2015 04:00:00 - 05/01/2015 05:00:00","BZN|IT-North","Without sequence","33.15","",""
"05/01/2015 05:00:00 - 05/01/2015 06:00:00","BZN|IT-North","Without sequence","38.85","",""
"05/01/2015 06:00:00 - 05/01/2015 07:00:00","BZN|IT-North","Without sequence","48.89","",""
"05/01/2015 07:00:00 - 05/01/2015 08:00:00","BZN|IT-North","Without sequence","60.03","",""
"05/01/2015 08:00:00 - 05/01/2015 09:00:00","BZN|IT-North","Without sequence","63.98","",""
"05/01/2015 09:00:00 - 05/01/2015 10:00:00","BZN|IT-North","Without sequence","64.5","",""
"05/01/2015 10:00:00 - 05/01/2015 11:00:00","BZN|IT-North","Without sequence","55.49","",""
"05/01/2015 11:00:00 - 05/01/2015 12:00:00","BZN|IT-North","Without sequence","53.5","",""
"05/01/2015 12:00:00 - 05/01/2015 13:00:00","BZN|IT-North","Without sequence","51.0","",""
"05/01/2015 13:00:00 - 05/01/2015 14:00:00","BZN|IT-North","Without sequence","50.39","",""
"05/01/2015 14:00:00 - 05/01/2015 15:00:00","BZN|IT-North","Without sequence","54.45","",""
"05/01/2015 15:00:00 - 05/01/2015 16:00:00","BZN|IT-North","Without sequence","64.0","",""
"05/01/2015 16:00:00 - 05/01/2015 17:00:00","BZN|IT-North","Without sequence","64.25","",""
"05/01/2015 17:00:00 - 05/01/2015 18:00:00","BZN|IT-North","Without sequence","68.64","",""
"05/01/2015 18:00:00 - 05/01/2015 19:00:00","BZN|IT-North","Without sequence","67.0","",""
"05/01/2015 19:00:00 - 05/01/2015 20:00:00","BZN|IT-North","Without sequence","61.5","",""
"05/01/2015 20:00:00 - 05/01/2015 21:00:00","BZN|IT-North","Without sequence","55.95","",""
"05/01/2015 21:00:00 - 05/01/2015 22:00:00","BZN|IT-North","Without sequence","50.26","",""
"05/01/2015 22:00:00 - 05/01/2015 23:00:00","BZN|IT-North","Without sequence","50.53","",""
"05/01/2015 23:00:00 - 06/01/2015 00:00:00","BZN|IT-North","Without sequence","51.0","",""
"06/01/2015 00:00:00 - 06/01/2015 01:00:00","BZN|IT-North","Without sequence","49.78","",""
"06/01/2015 01:00:00 - 06/01/2015 02:00:00","BZN|IT-North","Without sequence","45.21","",""
"06/01/2015 02:00:00 - 06/01/2015 03:00:00","BZN|IT-North","Without sequence","38.8","",""
"06/01/2015 03:00:00 - 06/01/2015 04:00:00","BZN|IT-North","Without sequence","35.0","",""
"06/01/2015 04:00:00 - 06/01/2015 05:00:00","BZN|IT-North","Without sequence","33.43","",""
"06/01/2015 05:00:00 - 06/01/2015 06:00:00","BZN|IT-North","Without sequence","37.58","",""
"06/01/2015 06:00:00 - 06/01/2015 07:00:00","BZN|IT-North","Without sequence","43.5","",""
"06/01/2015 07:00:00 - 06/01/2015 08:00:00","BZN|IT-North","Without sequence","52.0","",""
"06/01/2015 08:00:00 - 06/01/2015 09:00:00","BZN|IT-North","Without sequence","52.0","",""
"06/01/2015 09:00:00 - 06/01/2015 10:00:00","BZN|IT-North","Without sequence","51.04","",""
"06/01/2015 10:00:00 - 06/01/2015 11:00:00","BZN|IT-North","Without sequence","50.28","",""
"06/01/2015 11:00:00 - 06/01/2015 12:00:00","BZN|IT-North","Without sequence","49.1","",""
"06/01/2015 12:00:00 - 06/01/2015 13:00:00","BZN|IT-North","Without sequence","47.97","",""
"06/01/2015 13:00:00 - 06/01/2015 14:00:00","BZN|IT-North","Without sequence","45.11","",""
"06/01/2015 14:00:00 - 06/01/2015 15:00:00","BZN|IT-North","Without sequence","45.44","",""
"06/01/2015 15:00:00 - 06/01/2015 16:00:00","BZN|IT-North","Without sequence","52.49","",""
"06/01/2015 16:00:00 - 06/01/2015 17:00:00","BZN|IT-North","Without sequence","57.89","",""
"06/01/2015 17:00:00 - 06/01/2015 18:00:00","BZN|IT-North","Without sequence","63.98","",""
"06/01/2015 18:00:00 - 06/01/2015 19:00:00","BZN|IT-North","Without sequence","61.1","",""
"06/01/2015 19:00:00 - 06/01/2015 20:00:00","BZN|IT-North","Without sequence","59.17","",""
"06/01/2015 20:00:00 - 06/01/2015 21:00:00","BZN|IT-North","Without sequence","55.0","",""
"06/01/2015 21:00:00 - 06/01/2015 22:00:00","BZN|IT-North","Without sequence","50.0","",""
