"MTU (CET/CEST)","Area","Sequence","Day-ahead Price (EUR/MWh)","Intraday Period (CET/CEST)","Intraday Price (EUR/MWh)"
"01/01/2018 00:00:00 - 01/01/2018 01:00:00","BZN|CH","Without sequence","36.99","",""
"01/01/2018 01:00:00 - 01/01/2018 02:00:00","BZN|CH","Without sequence","31.08","",""
"01/01/2018 02:00:00 - 01/01/2018 03:00:00","BZN|CH","Without sequence","29.17","",""
"01/01/2018 03:00:00 - 01/01/2018 04:00:00","BZN|CH","Without sequence","21.96","",""
"01/01/2018 04:00:00 - 01/01/2018 05:00:00","BZN|CH","Without sequence","14.96","",""
"01/01/2018 05:00:00 - 01/01/2018 06:00:00","BZN|CH","Without sequence","-5.92","",""
"01/01/2018 06:00:00 - 01/01/2018 07:00:00","BZN|CH","Without sequence","-6.1","",""
"01/01/2018 07:00:00 - 01/01/2018 08:00:00","BZN|CH","Without sequence","-10.02","",""
"01/01/2018 08:00:00 - 01/01/2018 09:00:00","BZN|CH","Without sequence","-5.71","",""
"01/01/2018 09:00:00 - 01/01/2018 10:00:00","BZN|CH","Without sequence","-1.88","",""
"01/01/2018 10:00:00 - 01/01/2018 11:00:00","BZN|CH","Without sequence","-10.48","",""
"01/01/2018 11:00:00 - 01/01/2018 12:00:00","BZN|CH","Without sequence","-6.79","",""
"01/01/2018 12:00:00 - 01/01/2018 13:00:00","BZN|CH","Without sequence","8.57","",""
"01/01/2018 13:00:00 - 01/01/2018 14:00:00","BZN|CH","Without sequence","8.53","",""
"01/01/2018 14:00:00 - 01/01/2018 15:00:00","BZN|CH","Without sequence","8.52","",""
"01/01/2018 15:00:00 - 01/01/2018 16:00:00","BZN|CH","Without sequence","8.6","",""
"01/01/2018 16:00:00 - 01/01/2018 17:00:00","BZN|CH","Without sequence","16.98","",""
"01/01/2018 17:00:00 - 01/01/2018 18:00:00","BZN|CH","Without sequence","37.43","",""
"01/01/2018 18:00:00 - 01/01/2018 19:00:00","BZN|CH","Without sequence","41.19","",""
"01/01/2018 19:00:00 - 01/01/2018 20:00:00","BZN|CH","Without sequence","44.61","",""
"01/01/2018 20:00:00 - 01/01/2018 21:00:00","BZN|CH","Without sequence","40.67","",""
"01/01/2018 21:00:00 - 01/01/2018 22:00:00","BZN|CH","Without sequence","39.42","",""
"01/01/2018 22:00:00 - 01/01/2018 23:00:00","BZN|CH","Without sequence","36.06","",""
"01/01/2018 23:00:00 - 02/01/2018 00:00:00","BZN|CH","Without sequence","32.98","",""
"02/01/2018 00:00:00 - 02/01/2018 01:00:00","BZN|CH","Without sequence","36.39","",""
"02/01/2018 01:00:00 - 02/01/2018 02:00:00","BZN|CH","Without sequence","36.54","",""
"02/01/2018 02:00:00 - 02/01/2018 03:00:00","BZN|CH","Without sequence","30.97","",""
"02/01/2018 03:00:00 - 02/01/2018 04:00:00","BZN|CH","Without sequence","19.98","",""
"02/01/2018 04:00:00 - 02/01/2018 05:00:00","BZN|CH","Without sequence","21.6","",""
"02/01/2018 05:00:00 - 02/01/2018 06:00:00","BZN|CH","Without sequence","38.4","",""
"02/01/2018 06:00:00 - 02/01/2018 07:00:00","BZN|CH","Without sequence","41.04","",""
"02/01/2018 07:00:00 - 02/01/2018 08:00:00","BZN|CH","Without sequence","44.92","",""
"02/01/2018 08:00:00 - 02/01/2018 09:00:00","BZN|CH","Without sequence","49.05","",""
"02/01/2018 09:00:00 - 02/01/2018 10:00:00","BZN|CH","Without sequence","51.26","",""
"02/01/2018 10:00:00 - 02/01/2018 11:00:00","BZN|CH","Without sequence","51.22","",""
"02/01/2018 11:00:00 - 02/01/2018 12:00:00","BZN|CH","Without sequence","49.04","",""
"02/01/2018 12:00:00 - 02/01/2018 13:00:00","BZN|CH","Without sequence","48.1","",""
"02/01/2018 13:00:00 - 02/01/2018 14:00:00","BZN|CH","Without sequence","47.02","",""
"02/01/2018 14:00:00 - 02/01/2018 15:00:00","BZN|CH","Without sequence","46.06","",""
"02/01/2018 15:00:00 - 02/01/2018 16:00:00","BZN|CH","Without sequence","50.29","",""
"02/01/2018 16:00:00 - 02/01/2018 17:00:00","BZN|CH","Without sequence","52.57","",""
"02/01/2018 17:00:00 - 02/01/2018 18:00:00","BZN|CH","Without sequence","58.37","",""
"02/01/2018 18:00:00 - 02/01/2018 19:00:00","BZN|CH","Without sequence","57.79","",""
"02/01/2018 19:00:00 - 02/01/2018 20:00:00","BZN|CH","Without sequence","57.36","",""
"02/01/2018 20:00:00 - 02/01/2018 21:00:00","BZN|CH","Without sequence","53.24","",""
"02/01/2018 21:00:00 - 02/01/2018 22:00:00","BZN|CH","Without sequence","50.94","",""
"02/01/2018 22:00:00 - 02/01/2018 23:00:00","BZN|CH","Without sequence","47.1","",""
