"MTU (CET/CEST)","Area","Sequence","Day-ahead Price (EUR/MWh)","Intraday Period (CET/CEST)","Intraday Price (EUR/MWh)"
"01/01/2017 00:00:00 - 01/01/2017 01:00:00","BZN|CH","Without sequence","57.04","",""
"01/01/2017 01:00:00 - 01/01/2017 02:00:00","BZN|CH","Without sequence","51.94","",""
"01/01/2017 02:00:00 - 01/01/2017 03:00:00","BZN|CH","Without sequence","49.07","",""
"01/01/2017 03:00:00 - 01/01/2017 04:00:00","BZN|CH","Without sequence","45.01","",""
"01/01/2017 04:00:00 - 01/01/2017 05:00:00","BZN|CH","Without sequence","42.4","",""
"01/01/2017 05:00:00 - 01/01/2017 06:00:00","BZN|CH","Without sequence","42.43","",""
"01/01/2017 06:00:00 - 01/01/2017 07:00:00","BZN|CH","Without sequence","43.04","",""
"01/01/2017 07:00:00 - 01/01/2017 08:00:00","BZN|CH","Without sequence","41.08","",""
"01/01/2017 08:00:00 - 01/01/2017 09:00:00","BZN|CH","Without sequence","44.07","",""
"01/01/2017 09:00:00 - 01/01/2017 10:00:00","BZN|CH","Without sequence","43.52","",""
"01/01/2017 10:00:00 - 01/01/2017 11:00:00","BZN|CH","Without sequence","44.96","",""
"01/01/2017 11:00:00 - 01/01/2017 12:00:00","BZN|CH","Without sequence","44.22","",""
"01/01/2017 12:00:00 - 01/01/2017 13:00:00","BZN|CH","Without sequence","46.09","",""
"01/01/2017 13:00:00 - 01/01/2017 14:00:00","BZN|CH","Without sequence","44.09","",""
"01/01/2017 14:00:00 - 01/01/2017 15:00:00","BZN|CH","Without sequence","41.33","",""
"01/01/2017 15:00:00 - 01/01/2017 16:00:00","BZN|CH","Without sequence","41.64","",""
"01/01/2017 16:00:00 - 01/01/2017 17:00:00","BZN|CH","Without sequence","47.65","",""
"01/01/2017 17:00:00 - 01/01/2017 18:00:00","BZN|CH","Without sequence","53.94","",""
"01/01/2017 18:00:00 - 01/01/2017 19:00:00","BZN|CH","Without sequence","58.52","",""
"01/01/2017 19:00:00 - 01/01/2017 20:00:00","BZN|CH","Without sequence","59.01","",""
"01/01/2017 20:00:00 - 01/01/2017 21:00:00","BZN|CH","Without sequence","55.6","",""
"01/01/2017 21:00:00 - 01/01/2017 22:00:00","BZN|CH","Without sequence","53.6","",""
"01/01/2017 22:00:00 - 01/01/2017 23:00:00","BZN|CH","Without sequence","54.01","",""
"01/01/2017 23:00:00 - 02/01/2017 00:00:00","BZN|CH","Without sequence","53.07","",""
"02/01/2017 00:00:00 - 02/01/2017 01:00:00","BZN|CH","Without sequence","51.85","",""
"02/01/2017 01:00:00 - 02/01/2017 02:00:00","BZN|CH","Without sequence","50.04","",""
"02/01/2017 02:00:00 - 02/01/2017 03:00:00","BZN|CH","Without sequence","48.34","",""
"02/01/2017 03:00:00 - 02/01/2017 04:00:00","BZN|CH","Without sequence","46.89","",""
"02/01/2017 04:00:00 - 02/01/2017 05:00:00","BZN|CH","Without sequence","45.51","",""
"02/01/2017 05:00:00 - 02/01/2017 06:00:00","BZN|CH","Without sequence","46.79","",""
"02/01/2017 06:00:00 - 02/01/2017 07:00:00","BZN|CH","Without sequence","51.29","",""
"02/01/2017 07:00:00 - 02/01/2017 08:00:00","BZN|CH","Without sequence","60.97","",""
"02/01/2017 08:00:00 - 02/01/2017 09:00:00","BZN|CH","Without sequence","61.25","",""
"02/01/2017 09:00:00 - 02/01/2017 10:00:00","BZN|CH","Without sequence","61.04","",""
"02/01/2017 10:00:00 - 02/01/2017 11:00:00","BZN|CH","Without sequence","61.22","",""
"02/01/2017 11:00:00 - 02/01/2017 12:00:00","BZN|CH","Without sequence","61.02","",""
"02/01/2017 12:00:00 - 02/01/2017 13:00:00","BZN|CH","Without sequence","61.25","",""
"02/01/2017 13:00:00 - 02/01/2017 14:00:00","BZN|CH","Without sequence","61.22","",""
"02/01/2017 14:00:00 - 02/01/2017 15:00:00","BZN|CH","Without sequence","60.92","",""
"02/01/2017 15:00:00 - 02/01/2017 16:00:00","BZN|CH","Without sequence","59.97","",""
"02/01/2017 16:00:00 - 02/01/2017 17:00:00","BZN|CH","Without sequence","60.91","",""
"02/01/2017 17:00:00 - 02/01/2017 18:00:00","BZN|CH","Without sequence","66.36","",""
"02/01/2017 18:00:00 - 02/01/2017 19:00:00","BZN|CH","Without sequence","64.53","",""
"02/01/2017 19:00:00 - 02/01/2017 20:00:00","BZN|CH","Without sequence","61.66","",""
"02/01/2017 20:00:00 - 02/01/2017 21:00:00","BZN|CH","Without sequence","61.25","",""
"02/01/2017 21:00:00 - 02/01/2017 22:00:00","BZN|CH","Without sequence","61.24","",""
"02/01/2017 22:00:00 - 02/01/2017 23:00:00","BZN|CH","Without sequence","61.22","",""
"02/01/2017 23:00:00 - 03/01/2017 00:00:00","BZN|CH","Without sequence","60.11","",""
"03/01/2017 00:00:00 - 03/01/2017 01:00:00","BZN|CH","Without sequence","60.61","",""
"03/01/2017 01:00:00 - 03/01/2017 02:00:00","BZN|CH","Without sequence","56.06","",""
"03/01/2017 02:00:00 - 03/01/2017 03:00:00","BZN|CH","Without sequence","53.21","",""
"03/01/2017 03:00:00 - 03/01/2017 04:00:00","BZN|CH","Without sequence","52.96","",""
"03/01/2017 04:00:00 - 03/01/2017 05:00:00","BZN|CH","Without sequence","52.02","",""
"03/01/2017 05:00:00 - 03/01/2017 06:00:00","BZN|CH","Without sequence","53.33","",""
"03/01/2017 06:00:00 - 03/01/2017 07:00:00","BZN|CH","Without sequence","62.94","",""
"03/01/2017 07:00:00 - 03/01/2017 08:00:00","BZN|CH","Without sequence","69.05","",""
"03/01/2017 08:00:00 - 03/01/2017 09:00:00","BZN|CH","Without sequence","72.97","",""
"03/01/2017 09:00:00 - 03/01/2017 10:00:00","BZN|CH","Without sequence","74.37","",""
"03/01/2017 10:00:00 - 03/01/2017 11:00:00","BZN|CH","Without sequence","75.19","",""
"03/01/2017 11:00:00 - 03/01/2017 12:00:00","BZN|CH","Without sequence","74.22","",""
"03/01/2017 12:00:00 - 03/01/2017 13:00:00","BZN|CH","Without sequence","70.17","",""
"03/01/2017 13:00:00 - 03/01/2017 14:00:00","BZN|CH","Without sequence","70.16","",""
"03/01/2017 14:00:00 - 03/01/2017 15:00:00","BZN|CH","Without sequence","70.2","",""
"03/01/2017 15:00:00 - 03/01/2017 16:00:00","BZN|CH","Without sequence","72.27","",""
"03/01/2017 16:00:00 - 03/01/2017 17:00:00","BZN|CH","Without sequence","75.08","",""
"03/01/2017 17:00:00 - 03/01/2017 18:00:00","BZN|CH","Without sequence","84.44","",""
"03/01/2017 18:00:00 - 03/01/2017 19:00:00","BZN|CH","Without sequence","85.92","",""
"03/01/2017 19:00:00 - 03/01/2017 20:00:00","BZN|CH","Without sequence","82.66","",""
"03/01/2017 20:00:00 - 03/01/2017 21:00:00","BZN|CH","Without sequence","77.07","",""
"03/01/2017 21:00:00 - 03/01/2017 22:00:00","BZN|CH","Without sequence","70.71","",""
"03/01/2017 22:00:00 - 03/01/2017 23:00:00","BZN|CH","Without sequence","69.31","",""
"03/01/2017 23:00:00 - 04/01/2017 00:00:00","BZN|CH","Without sequence","66.08","",""
"04/01/2017 00:00:00 - 04/01/2017 01:00:00","BZN|CH","Without sequence","55.6","",""
"04/01/2017 01:00:00 - 04/01/2017 02:00:00","BZN|CH","Without sequence","53.59","",""
"04/01/2017 02:00:00 - 04/01/2017 03:00:00","BZN|CH","Without sequence","52.67","",""
"04/01/2017 03:00:00 - 04/01/2017 04:00:00","BZN|CH","Without sequence","52.48","",""
"04/01/2017 04:00:00 - 04/01/2017 05:00:00","BZN|CH","Without sequence","52.7","",""
