"MTU (CET/CEST)","Generation - Solar [MW] Day Ahead/ BZN|DE-LU","Generation - Solar [MW] Intraday / BZN|DE-LU","Generation - Solar [MW] Current / BZN|DE-LU","Generation - Wind Offshore [MW] Day Ahead/ BZN|DE-LU","Generation - Wind Offshore [MW] Intraday / BZN|DE-LU","Generation - Wind Offshore [MW] Current / BZN|DE-LU","Generation - Wind Onshore [MW] Day Ahead/ BZN|DE-LU","Generation - Wind Onshore [MW] Intraday / BZN|DE-LU","Generation - Wind Onshore [MW] Current / BZN|DE-LU"
"25.09.2021 12:45 - 25.09.2021 13:00","23324","23166","19056","807","655","612","3336","4043","3858"
"25.09.2021 13:00 - 25.09.2021 13:15","23330","23187","19032","774","618","603","3202","3902","3717"
"25.09.2021 13:15 - 25.09.2021 13:30","23263","23120","18912","739","594","579","3062","3746","3565"
"25.09.2021 13:30 - 25.09.2021 13:45","23091","22920","18805","703","564","544","2932","3590","3418"
"25.09.2021 13:45 - 25.09.2021 14:00","22848","22628","18698","668","540","530","2798","3435","3254"
"25.09.2021 14:00 - 25.09.2021 14:15","22466","22432","18297","638","514","515","2672","3253","3084"
"25.09.2021 14:15 - 25.09.2021 14:30","22024","21932","17907","613","489","484","2539","3110","2972"
"25.09.2021 14:30 - 25.09.2021 14:45","21405","21323","17451","590","461","447","2400","2958","2858"
"25.09.2021 14:45 - 25.09.2021 15:00","20678","20641","16953","566","443","420","2261","2803","2734"
"25.09.2021 15:00 - 25.09.2021 15:15","19818","19828","16224","541","425","403","2118","2640","2577"
"25.09.2021 15:15 - 25.09.2021 15:30","18853","18875","15504","518","396","382","1967","2468","2445"
"25.09.2021 15:30 - 25.09.2021 15:45","17721","17749","14668","493","376","354","1808","2285","2284"
"25.09.2021 15:45 - 25.09.2021 16:00","16514","16534","13841","470","350","333","1644","2102","2105"
"25.09.2021 16:00 - 25.09.2021 16:15","15162","15191","12649","452","328","313","1478","1919","1936"
"25.09.2021 16:15 - 25.09.2021 16:30","13724","13778","11098","427","303","288","1336","1733","1760"
"25.09.2021 16:30 - 25.09.2021 16:45","12198","12221","9896","406","281","260","1197","1549","1563"
"25.09.2021 16:45 - 25.09.2021 17:00","10675","10666","8664","381","254","237","1064","1366","1386"
"25.09.2021 17:00 - 25.09.2021 17:15","9109","9028","7375","357","233","215","935","1199","1210"
"25.09.2021 17:15 - 25.09.2021 17:30","7521","7400","6212","332","215","196","859","1082","1085"
"25.09.2021 17:30 - 25.09.2021 17:45","5957","5821","4875","310","198","178","790","971","1083"
"25.09.2021 17:45 - 25.09.2021 18:00","4486","4356","3595","282","183","163","725","860","974"
"25.09.2021 18:00 - 25.09.2021 18:15","3168","3041","2464","260","168","149","656","754","862"
"25.09.2021 18:15 - 25.09.2021 18:30","2029","1918","1525","237","158","138","662","737","829"
"25.09.2021 18:30 - 25.09.2021 18:45","1146","1057","827","219","147","126","670","729","784"
"25.09.2021 18:45 - 25.09.2021 19:00","540","473","375","196","135","116","678","728","758"
"25.09.2021 19:00 - 25.09.2021 19:15","145","125","87","179","121","105","693","732","729"
"25.09.2021 19:15 - 25.09.2021 19:30","4","4","6","172","115","99","720","750","730"
"25.09.2021 19:30 - 25.09.2021 19:45","0","0","1","159","108","94","773","790","753"
"25.09.2021 19:45 - 25.09.2021 20:00","0","0","0","152","104","89","848","848","827"
"25.09.2021 20:00 - 25.09.2021 20:15","0","0","0","145","102","85","909","901","893"
"25.09.2021 20:15 - 25.09.2021 20:30","0","0","0","146","98","85","982","960","949"
"25.09.2021 20:30 - 25.09.2021 20:45","0","0","0","146","95","81","1062","1028","976"
"25.09.2021 20:45 - 25.09.2021 21:00","0","0","0","145","100","76","1143","1101","1020"
"25.09.2021 21:00 - 25.09.2021 21:15","0","0","0","147","100","85","1223","1175","1063"
"25.09.2021 21:15 - 25.09.2021 21:30","0","0","0","150","105","99","1309","1252","1119"
"25.09.2021 21:30 - 25.09.2021 21:45","0","0","0","158","115","103","1408","1331","1178"
"25.09.2021 21:45 - 25.09.2021 22:00","0","0","0","160","119","120","1497","1401","1237"
"25.09.2021 22:00 - 25.09.2021 22:15","0","0","0","167","132","142","1568","1454","1258"
"25.09.2021 22:15 - 25.09.2021 22:30","0","0","0","182","149","177","1692","1564","1346"
"25.09.2021 22:30 - 25.09.2021 22:45","0","0","0","199","169","202","1808","1666","1434"
"25.09.2021 22:45 - 25.09.2021 23:00","0","0","0","220","192","255","1928","1776","1543"
"25.09.2021 23:00 - 25.09.2021 23:15","0","0","0","238","215","315","2042","1877","1615"
"25.09.2021 23:15 - 25.09.2021 23:30","0","0","0","262","241","375","2166","1965","1716"
"25.09.2021 23:30 - 25.09.2021 23:45","0","0","0","288","263","408","2288","2048","1806"
"25.09.2021 23:45 - 26.09.2021 00:00","0","0","0","313","281","445","2410","2127","1897"
"26.09.2021 00:00 - 26.09.2021 00:15","0","0","0","474","471","471","2235","2354","2150"
"26.09.2021 00:15 - 26.09.2021 00:30","0","0","0","531","495","495","2331","2463","2240"
"26.09.2021 00:30 - 26.09.2021 00:45","0","0","0","588","509","509","2429","2586","2338"
"26.09.2021 00:45 - 26.09.2021 01:00","0","0","0","641","533","533","2525","2730","2458"
"26.09.2021 01:00 - 26.09.2021 01:15","0","0","0","659","555","555","2621","2872","2578"
"26.09.2021 01:15 - 26.09.2021 01:30","0","0","0","695","583","583","2718","3025","2705"
"26.09.2021 01:30 - 26.09.2021 01:45","0","0","0","735","605","605","2814","3168","2831"
"26.09.2021 01:45 - 26.09.2021 02:00","0","0","0","772","639","639","2911","3347","2958"
"26.09.2021 02:00 - 26.09.2021 02:15","0","0","0","800","659","659","3000","3487","3076"
"26.09.2021 02:15 - 26.09.2021 02:30","0","0","0","816","704","704","3084","3574","3169"
"26.09.2021 02:30 - 26.09.2021 02:45","0","0","0","832","741","741","3164","3653","3268"
"26.09.2021 02:45 - 26.09.2021 03:00","0","0","0","848","795","795","3249","3762","3387"
"26.09.2021 03:00 - 26.09.2021 03:15","0","0","0","860","859","859","3330","3856","3471"
"26.09.2021 03:15 - 26.09.2021 03:30","0","0","0","866","870","870","3416","3888","3550"
"26.09.2021 03:30 - 26.09.2021 03:45","0","0","0","872","872","872","3512","3961","3686"
"26.09.2021 03:45 - 26.09.2021 04:00","0","0","0","879","922","922","3604","4074","3849"
"26.09.2021 04:00 - 26.09.2021 04:15","0","0","0","889","916","916","3699","4202","4008"
"26.09.2021 04:15 - 26.09.2021 04:30","0","0","0","894","964","964","3785","4400","4207"
"26.09.2021 04:30 - 26.09.2021 04:45","0","0","0","899","997","997","3867","4557","4380"
"26.09.2021 04:45 - 26.09.2021 05:00","0","0","0","905","1016","1016","3952","4696","4528"
"26.09.2021 05:00 - 26.09.2021 05:15","0","0","0","926","1015","1015","4037","4892","4721"
"26.09.2021 05:15 - 26.09.2021 05:30","0","0","0","964","1070","1070","4108","4988","4836"
"26.09.2021 05:30 - 26.09.2021 05:45","0","0","0","1003","1069","1069","4182","5050","4932"
"26.09.2021 05:45 - 26.09.2021 06:00","0","0","0","1037","1122","1122","4265","5149","5051"
"26.09.2021 06:00 - 26.09.2021 06:15","0","0","0","1058","1186","1186","4347","5281","5196"
"26.09.2021 06:15 - 26.09.2021 06:30","0","0","0","1098","1249","1249","4414","5345","5313"
