"MTU (CET/CEST)","Area","Sequence","Day-ahead Price (EUR/MWh)","Intraday Period (CET/CEST)","Intraday Price (EUR/MWh)"
"01/01/2023 00:00:00 - 01/01/2023 01:00:00","BZN|IT-North","Without sequence","195.9","",""
"01/01/2023 01:00:00 - 01/01/2023 02:00:00","BZN|IT-North","Without sequence","191.09","",""
"01/01/2023 02:00:00 - 01/01/2023 03:00:00","BZN|IT-North","Without sequence","187.95","",""
"01/01/2023 03:00:00 - 01/01/2023 04:00:00","BZN|IT-North","Without sequence","187.82","",""
"01/01/2023 04:00:00 - 01/01/2023 05:00:00","BZN|IT-North","Without sequence","187.74","",""
"01/01/2023 05:00:00 - 01/01/2023 06:00:00","BZN|IT-North","Without sequence","187.74","",""
"01/01/2023 06:00:00 - 01/01/2023 07:00:00","BZN|IT-North","Without sequence","187.22","",""
"01/01/2023 07:00:00 - 01/01/2023 08:00:00","BZN|IT-North","Without sequence","187.82","",""
"01/01/2023 08:00:00 - 01/01/2023 09:00:00","BZN|IT-North","Without sequence","186.47","",""
"01/01/2023 09:00:00 - 01/01/2023 10:00:00","BZN|IT-North","Without sequence","186.47","",""
"01/01/2023 10:00:00 - 01/01/2023 11:00:00","BZN|IT-North","Without sequence","177.25","",""
"01/01/2023 11:00:00 - 01/01/2023 12:00:00","BZN|IT-North","Without sequence","168.5","",""
"01/01/2023 12:00:00 - 01/01/2023 13:00:00","BZN|IT-North","Without sequence","173.0","",""
"01/01/2023 13:00:00 - 01/01/2023 14:00:00","BZN|IT-North","Without sequence","165.89","",""
"01/01/2023 14:00:00 - 01/01/2023 15:00:00","BZN|IT-North","Without sequence","179.73","",""
"01/01/2023 15:00:00 - 01/01/2023 16:00:00","BZN|IT-North","Without sequence","188.06","",""
"01/01/2023 16:00:00 - 01/01/2023 17:00:00","BZN|IT-North","Without sequence","193.67","",""
"01/01/2023 17:00:00 - 01/01/2023 18:00:00","BZN|IT-North","Without sequence","213.36","",""
"01/01/2023 18:00:00 - 01/01/2023 19:00:00","BZN|IT-North","Without sequence","229.99","",""
"01/01/2023 19:00:00 - 01/01/2023 20:00:00","BZN|IT-North","Without sequence","243.42","",""
"01/01/2023 20:00:00 - 01/01/2023 21:00:00","BZN|IT-North","Without sequence","235.0","",""
"01/01/2023 21:00:00 - 01/01/2023 22:00:00","BZN|IT-North","Without sequence","203.25","",""
"01/01/2023 22:00:00 - 01/01/2023 23:00:00","BZN|IT-North","Without sequence","190.85","",""
"01/01/2023 23:00:00 - 02/01/2023 00:00:00","BZN|IT-North","Without sequence","187.28","",""
"02/01/2023 00:00:00 - 02/01/2023 01:00:00","BZN|IT-North","Without sequence","187.27","",""
"02/01/2023 01:00:00 - 02/01/2023 02:00:00","BZN|IT-North","Without sequence","187.2","",""
"02/01/2023 02:00:00 - 02/01/2023 03:00:00","BZN|IT-North","Without sequence","180.0","",""
"02/01/2023 03:00:00 - 02/01/2023 04:00:00","BZN|IT-North","Without sequence","180.0","",""
"02/01/2023 04:00:00 - 02/01/2023 05:00:00","BZN|IT-North","Without sequence","185.89","",""
"02/01/2023 05:00:00 - 02/01/2023 06:00:00","BZN|IT-North","Without sequence","185.89","",""
"02/01/2023 06:00:00 - 02/01/2023 07:00:00","BZN|IT-North","Without sequence","198.85","",""
"02/01/2023 07:00:00 - 02/01/2023 08:00:00","BZN|IT-North","Without sequence","202.72","",""
"02/01/2023 08:00:00 - 02/01/2023 09:00:00","BZN|IT-North","Without sequence","213.36","",""
"02/01/2023 09:00:00 - 02/01/2023 10:00:00","BZN|IT-North","Without sequence","203.99","",""
"02/01/2023 10:00:00 - 02/01/2023 11:00:00","BZN|IT-North","Without sequence","196.23","",""
"02/01/2023 11:00:00 - 02/01/2023 12:00:00","BZN|IT-North","Without sequence","194.63","",""
"02/01/2023 12:00:00 - 02/01/2023 13:00:00","BZN|IT-North","Without sequence","194.47","",""
"02/01/2023 13:00:00 - 02/01/2023 14:00:00","BZN|IT-North","Without sequence","193.75","",""
"02/01/2023 14:00:00 - 02/01/2023 15:00:00","BZN|IT-North","Without sequence","195.74","",""
"02/01/2023 15:00:00 - 02/01/2023 16:00:00","BZN|IT-North","Without sequence","199.09","",""
"02/01/2023 16:00:00 - 02/01/2023 17:00:00","BZN|IT-North","Without sequence","206.21","",""
"02/01/2023 17:00:00 - 02/01/2023 18:00:00","BZN|IT-North","Without sequence","262.0","",""
"02/01/2023 18:00:00 - 02/01/2023 19:00:00","BZN|IT-North","Without sequence","247.0","",""
"02/01/2023 19:00:00 - 02/01/2023 20:00:00","BZN|IT-North","Without sequence","250.0","",""
"02/01/2023 20:00:00 - 02/01/2023 21:00:00","BZN|IT-North","Without sequence","210.95","",""
"02/01/2023 21:00:00 - 02/01/2023 22:00:00","BZN|IT-North","Without sequence","199.09","",""
"02/01/2023 22:00:00 - 02/01/2023 23:00:00","BZN|IT-North","Without sequence","194.47","",""
"02/01/2023 23:00:00 - 03/01/2023 00:00:00","BZN|IT-North","Without sequence","185.0","",""
"03/01/2023 00:00:00 - 03/01/2023 01:00:00","BZN|IT-North","Without sequence","170.77","",""
"03/01/2023 01:00:00 - 03/01/2023 02:00:00","BZN|IT-North","Without sequence","148.89","",""
