"MTU (CET/CEST)","Area","Sequence","Day-ahead Price (EUR/MWh)","Intraday Period (CET/CEST)","Intraday Price (EUR/MWh)"
"03/01/2015 07:00:00 - 03/01/2015 08:00:00","BZN|CH","Without sequence","30.84","",""
"03/01/2015 08:00:00 - 03/01/2015 09:00:00","BZN|CH","Without sequence","35.78","",""
"03/01/2015 09:00:00 - 03/01/2015 10:00:00","BZN|CH","Without sequence","37.2","",""
"03/01/2015 10:00:00 - 03/01/2015 11:00:00","BZN|CH","Without sequence","36.44","",""
"03/01/2015 11:00:00 - 03/01/2015 12:00:00","BZN|CH","Without sequence","36.74","",""
"03/01/2015 12:00:00 - 03/01/2015 13:00:00","BZN|CH","Without sequence","37.07","",""
"03/01/2015 13:00:00 - 03/01/2015 14:00:00","BZN|CH","Without sequence","37.0","",""
"03/01/2015 14:00:00 - 03/01/2015 15:00:00","BZN|CH","Without sequence","33.76","",""
"03/01/2015 15:00:00 - 03/01/2015 16:00:00","BZN|CH","Without sequence","31.07","",""
"03/01/2015 16:00:00 - 03/01/2015 17:00:00","BZN|CH","Without sequence","31.48","",""
"03/01/2015 17:00:00 - 03/01/2015 18:00:00","BZN|CH","Without sequence","40.09","",""
"03/01/2015 18:00:00 - 03/01/2015 19:00:00","BZN|CH","Without sequence","46.36","",""
"03/01/2015 19:00:00 - 03/01/2015 20:00:00","BZN|CH","Without sequence","48.95","",""
"03/01/2015 20:00:00 - 03/01/2015 21:00:00","BZN|CH","Without sequence","48.04","",""
"03/01/2015 21:00:00 - 03/01/2015 22:00:00","BZN|CH","Without sequence","46.0","",""
"03/01/2015 22:00:00 - 03/01/2015 23:00:00","BZN|CH","Without sequence","43.66","",""
"03/01/2015 23:00:00 - 04/01/2015 00:00:00","BZN|CH","Without sequence","37.48","",""
"04/01/2015 00:00:00 - 04/01/2015 01:00:00","BZN|CH","Without sequence","36.41","",""
"04/01/2015 01:00:00 - 04/01/2015 02:00:00","BZN|CH","Without sequence","31.46","",""
"04/01/2015 02:00:00 - 04/01/2015 03:00:00","BZN|CH","Without sequence","24.97","",""
"04/01/2015 03:00:00 - 04/01/2015 04:00:00","BZN|CH","Without sequence","14.42","",""
"04/01/2015 04:00:00 - 04/01/2015 05:00:00","BZN|CH","Without sequence","11.03","",""
"04/01/2015 05:00:00 - 04/01/2015 06:00:00","BZN|CH","Without sequence","13.77","",""
"04/01/2015 06:00:00 - 04/01/2015 07:00:00","BZN|CH","Without sequence","16.44","",""
"04/01/2015 07:00:00 - 04/01/2015 08:00:00","BZN|CH","Without sequence","17.79","",""
"04/01/2015 08:00:00 - 04/01/2015 09:00:00","BZN|CH","Without sequence","18.86","",""
"04/01/2015 09:00:00 - 04/01/2015 10:00:00","BZN|CH","Without sequence","28.83","",""
"04/01/2015 10:00:00 - 04/01/2015 11:00:00","BZN|CH","Without sequence","33.02","",""
"04/01/2015 11:00:00 - 04/01/2015 12:00:00","BZN|CH","Without sequence","35.64","",""
"04/01/2015 12:00:00 - 04/01/2015 13:00:00","BZN|CH","Without sequence","37.3","",""
"04/01/2015 13:00:00 - 04/01/2015 14:00:00","BZN|CH","Without sequence","35.41","",""
"04/01/2015 14:00:00 - 04/01/2015 15:00:00","BZN|CH","Without sequence","30.34","",""
"04/01/2015 15:00:00 - 04/01/2015 16:00:00","BZN|CH","Without sequence","26.52","",""
"04/01/2015 16:00:00 - 04/01/2015 17:00:00","BZN|CH","Without sequence","26.51","",""
"04/01/2015 17:00:00 - 04/01/2015 18:00:00","BZN|CH","Without sequence","42.98","",""
"04/01/2015 18:00:00 - 04/01/2015 19:00:00","BZN|CH","Without sequence","49.85","",""
"04/01/2015 19:00:00 - 04/01/2015 20:00:00","BZN|CH","Without sequence","48.61","",""
"04/01/2015 20:00:00 - 04/01/2015 21:00:00","BZN|CH","Without sequence","48.14","",""
"04/01/2015 21:00:00 - 04/01/2015 22:00:00","BZN|CH","Without sequence","43.99","",""
"04/01/2015 22:00:00 - 04/01/2015 23:00:00","BZN|CH","Without sequence","46.03","",""
"04/01/2015 23:00:00 - 05/01/2015 00:00:00","BZN|CH","Without sequence","43.04","",""
"05/01/2015 00:00:00 - 05/01/2015 01:00:00","BZN|CH","Without sequence","37.8","",""
"05/01/2015 01:00:00 - 05/01/2015 02:00:00","BZN|CH","Without sequence","34.09","",""
"05/01/2015 02:00:00 - 05/01/2015 03:00:00","BZN|CH","Without sequence","31.89","",""
"05/01/2015 03:00:00 - 05/01/2015 04:00:00","BZN|CH","Without sequence","28.5","",""
"05/01/2015 04:00:00 - 05/01/2015 05:00:00","BZN|CH","Without sequence","27.23","",""
"05/01/2015 05:00:00 - 05/01/2015 06:00:00","BZN|CH","Without sequence","32.26","",""
"05/01/2015 06:00:00 - 05/01/2015 07:00:00","BZN|CH","Without sequence","43.72","",""
"05/01/2015 07:00:00 - 05/01/2015 08:00:00","BZN|CH","Without sequence","49.94","",""
"05/01/2015 08:00:00 - 05/01/2015 09:00:00","BZN|CH","Without sequence","51.98","",""
"05/01/2015 09:00:00 - 05/01/2015 10:00:00","BZN|CH","Without sequence","53.0","",""
"05/01/2015 10:00:00 - 05/01/2015 11:00:00","BZN|CH","Without sequence","52.71","",""
"05/01/2015 11:00:00 - 05/01/2015 12:00:00","BZN|CH","Without sequence","52.35","",""
"05/01/2015 12:00:00 - 05/01/2015 13:00:00","BZN|CH","Without sequence","52.02","",""
"05/01/2015 13:00:00 - 05/01/2015 14:00:00","BZN|CH","Without sequence","50.4","",""
"05/01/2015 14:00:00 - 05/01/2015 15:00:00","BZN|CH","Without sequence","50.55","",""
"05/01/2015 15:00:00 - 05/01/2015 16:00:00","BZN|CH","Without sequence","49.46","",""
"05/01/2015 16:00:00 - 05/01/2015 17:00:00","BZN|CH","Without sequence","50.79","",""
"05/01/2015 17:00:00 - 05/01/2015 18:00:00","BZN|CH","Without sequence","58.08","",""
"05/01/2015 18:00:00 - 05/01/2015 19:00:00","BZN|CH","Without sequence","64.63","",""
"05/01/2015 19:00:00 - 05/01/2015 20:00:00","BZN|CH","Without sequence","61.17","",""
"05/01/2015 20:00:00 - 05/01/2015 21:00:00","BZN|CH","Without sequence","54.19","",""
"05/01/2015 21:00:00 - 05/01/2015 22:00:00","BZN|CH","Without sequence","51.16","",""
"05/01/2015 22:00:00 - 05/01/2015 23:00:00","BZN|CH","Without sequence","50.64","",""
"05/01/2015 23:00:00 - 06/01/2015 00:00:00","BZN|CH","Without sequence","48.78","",""
"06/01/2015 00:00:00 - 06/01/2015 01:00:00","BZN|CH","Without sequence","43.4","",""
"06/01/2015 01:00:00 - 06/01/2015 02:00:00","BZN|CH","Without sequence","39.86","",""
"06/01/2015 02:00:00 - 06/01/2015 03:00:00","BZN|CH","Without sequence","38.04","",""
"06/01/2015 03:00:00 - 06/01/2015 04:00:00","BZN|CH","Without sequence","33.14","",""
"06/01/2015 04:00:00 - 06/01/2015 05:00:00","BZN|CH","Without sequence","30.21","",""
"06/01/2015 05:00:00 - 06/01/2015 06:00:00","BZN|CH","Without sequence","35.88","",""
"06/01/2015 06:00:00 - 06/01/2015 07:00:00","BZN|CH","Without sequence","41.41","",""
"06/01/2015 07:00:00 - 06/01/2015 08:00:00","BZN|CH","Without sequence","50.67","",""
"06/01/2015 08:00:00 - 06/01/2015 09:00:00","BZN|CH","Without sequence","50.26","",""
"06/01/2015 09:00:00 - 06/01/2015 10:00:00","BZN|CH","Without sequence","49.79","",""
"06/01/2015 10:00:00 - 06/01/2015 11:00:00","BZN|CH","Without sequence","48.34","",""
"06/01/2015 11:00:00 - 06/01/2015 12:00:00","BZN|CH","Without sequence","47.43","",""
"06/01/2015 12:00:00 - 06/01/2015 13:00:00","BZN|CH","Without sequence","46.26","",""
"06/01/2015 13:00:00 - 06/01/2015 14:00:00","BZN|CH","Without sequence","44.25","",""
"06/01/2015 14:00:00 - 06/01/2015 15:00:00","BZN|CH","Without sequence","43.79","",""
"06/01/2015 15:00:00 - 06/01/2015 16:00:00","BZN|CH","Without sequence","43.94","",""
"06/01/2015 16:00:00 - 06/01/2015 17:00:00","BZN|CH","Without sequence","47.01","",""
"06/01/2015 17:00:00 - 06/01/2015 18:00:00","BZN|CH","Without sequence","52.45","",""
"06/01/2015 18:00:00 - 06/01/2015 19:00:00","BZN|CH","Without sequence","54.26","",""
"06/01/2015 19:00:00 - 06/01/2015 20:00:00","BZN|CH","Without sequence","52.98","",""
"06/01/2015 20:00:00 - 06/01/2015 21:00:00","BZN|CH","Without sequence","49.96","",""
"06/01/2015 21:00:00 - 06/01/2015 22:00:00","BZN|CH","Without sequence","47.92","",""
"06/01/2015 22:00:00 - 06/01/2015 23:00:00","BZN|CH","Without sequence","48.94","",""
"06/01/2015 23:00:00 - 07/01/2015 00:00:00","BZN|CH","Without sequence","47.98","",""
"07/01/2015 00:00:00 - 07/01/2015 01:00:00","BZN|CH","Without sequence","43.5","",""
"07/01/2015 01:00:00 - 07/01/2015 02:00:00","BZN|CH","Without sequence","39.46","",""
"07/01/2015 02:00:00 - 07/01/2015 03:00:00","BZN|CH","Without sequence","37.08","",""
"07/01/2015 03:00:00 - 07/01/2015 04:00:00","BZN|CH","Without sequence","35.06","",""
"07/01/2015 04:00:00 - 07/01/2015 05:00:00","BZN|CH","Without sequence","33.69","",""
"07/01/2015 05:00:00 - 07/01/2015 06:00:00","BZN|CH","Without sequence","38.02","",""
"07/01/2015 06:00:00 - 07/01/2015 07:00:00","BZN|CH","Without sequence","47.98","",""
"07/01/2015 07:00:00 - 07/01/2015 08:00:00","BZN|CH","Without sequence","52.41","",""
"07/01/2015 08:00:00 - 07/01/2015 09:00:00","BZN|CH","Without sequence","53.9","",""
"07/01/2015 09:00:00 - 07/01/2015 10:00:00","BZN|CH","Without sequence","54.95","",""
"07/01/2015 10:00:00 - 07/01/2015 11:00:00","BZN|CH","Without sequence","54.22","",""
"07/01/2015 11:00:00 - 07/01/2015 12:00:00","BZN|CH","Without sequence","53.76","",""
"07/01/2015 12:00:00 - 07/01/2015 13:00:00","BZN|CH","Without sequence","51.98","",""
"07/01/2015 13:00:00 - 07/01/2015 14:00:00","BZN|CH","Without sequence","50.42","",""
"07/01/2015 14:00:00 - 07/01/2015 15:00:00","BZN|CH","Without sequence","48.95","",""
"07/01/2015 15:00:00 - 07/01/2015 16:00:00","BZN|CH","Without sequence","48.92","",""
"07/01/2015 16:00:00 - 07/01/2015 17:00:00","BZN|CH","Without sequence","49.79","",""
"07/01/2015 17:00:00 - 07/01/2015 18:00:00","BZN|CH","Without sequence","52.85","",""
"07/01/2015 18:00:00 - 07/01/2015 19:00:00","BZN|CH","Without sequence","55.86","",""
"07/01/2015 19:00:00 - 07/01/2015 20:00:00","BZN|CH","Without sequence","54.04","",""
"07/01/2015 20:00:00 - 07/01/2015 21:00:00","BZN|CH","Without sequence","50.3","",""
"07/01/2015 21:00:00 - 07/01/2015 22:00:00","BZN|CH","Without sequence","46.47","",""
"07/01/2015 22:00:00 - 07/01/2015 23:00:00","BZN|CH","Without sequence","47.86","",""
"07/01/2015 23:00:00 - 08/01/2015 00:00:00","BZN|CH","Without sequence","45.55","",""
"08/01/2015 00:00:00 - 08/01/2015 01:00:00","BZN|CH","Without sequence","44.19","",""
"08/01/2015 01:00:00 - 08/01/2015 02:00:00","BZN|CH","Without sequence","42.18","",""
"08/01/2015 02:00:00 - 08/01/2015 03:00:00","BZN|CH","Without sequence","41.09","",""
"08/01/2015 03:00:00 - 08/01/2015 04:00:00","BZN|CH","Without sequence","40.98","",""
"08/01/2015 04:00:00 - 08/01/2015 05:00:00","BZN|CH","Without sequence","39.18","",""
"08/01/2015 05:00:00 - 08/01/2015 06:00:00","BZN|CH","Without sequence","44.2","",""
"08/01/2015 06:00:00 - 08/01/2015 07:00:00","BZN|CH","Without sequence","47.02","",""
"08/01/2015 07:00:00 - 08/01/2015 08:00:00","BZN|CH","Without sequence","49.44","",""
"08/01/2015 08:00:00 - 08/01/2015 09:00:00","BZN|CH","Without sequence","49.99","",""
"08/01/2015 09:00:00 - 08/01/2015 10:00:00","BZN|CH","Without sequence","49.43","",""
"08/01/2015 10:00:00 - 08/01/2015 11:00:00","BZN|CH","Without sequence","48.76","",""
"08/01/2015 11:00:00 - 08/01/2015 12:00:00","BZN|CH","Without sequence","48.04","",""
"08/01/2015 12:00:00 - 08/01/2015 13:00:00","BZN|CH","Without sequence","48.09","",""
"08/01/2015 13:00:00 - 08/01/2015 14:00:00","BZN|CH","Without sequence","48.35","",""
"08/01/2015 14:00:00 - 08/01/2015 15:00:00","BZN|CH","Without sequence","48.41","",""
"08/01/2015 15:00:00 - 08/01/2015 16:00:00","BZN|CH","Without sequence","48.42","",""
"08/01/2015 16:00:00 - 08/01/2015 17:00:00","BZN|CH","Without sequence","48.47","",""
"08/01/2015 17:00:00 - 08/01/2015 18:00:00","BZN|CH","Without sequence","48.1","",""
"08/01/2015 18:00:00 - 08/01/2015 19:00:00","BZN|CH","Without sequence","47.42","",""
"08/01/2015 19:00:00 - 08/01/2015 20:00:00","BZN|CH","Without sequence","46.75","",""
"08/01/2015 20:00:00 - 08/01/2015 21:00:00","BZN|CH","Without sequence","46.69","",""
"08/01/2015 21:00:00 - 08/01/2015 22:00:00","BZN|CH","Without sequence","46.31","",""
"08/01/2015 22:00:00 - 08/01/2015 23:00:00","BZN|CH","Without sequence","46.91","",""
"08/01/2015 23:00:00 - 09/01/2015 00:00:00","BZN|CH","Without sequence","41.0","",""
"09/01/2015 00:00:00 - 09/01/2015 01:00:00","BZN|CH","Without sequence","42.44","",""
"09/01/2015 01:00:00 - 09/01/2015 02:00:00","BZN|CH","Without sequence","41.31","",""
"09/01/2015 02:00:00 - 09/01/2015 03:00:00","BZN|CH","Without sequence","41.98","",""
"09/01/2015 03:00:00 - 09/01/2015 04:00:00","BZN|CH","Without sequence","41.06","",""
"09/01/2015 04:00:00 - 09/01/2015 05:00:00","BZN|CH","Without sequence","41.07","",""
"09/01/2015 05:00:00 - 09/01/2015 06:00:00","BZN|CH","Without sequence","44.07","",""
"09/01/2015 06:00:00 - 09/01/2015 07:00:00","BZN|CH","Without sequence","45.48","",""
"09/01/2015 07:00:00 - 09/01/2015 08:00:00","BZN|CH","Without sequence","46.98","",""
"09/01/2015 08:00:00 - 09/01/2015 09:00:00","BZN|CH","Without sequence","47.93","",""
"09/01/2015 09:00:00 - 09/01/2015 10:00:00","BZN|CH","Without sequence","47.28","",""
"09/01/2015 10:00:00 - 09/01/2015 11:00:00","BZN|CH","Without sequence","47.95","",""
"09/01/2015 11:00:00 - 09/01/2015 12:00:00","BZN|CH","Without sequence","47.95","",""
"09/01/2015 12:00:00 - 09/01/2015 13:00:00","BZN|CH","Without sequence","47.9","",""
"09/01/2015 13:00:00 - 09/01/2015 14:00:00","BZN|CH","Without sequence","46.98","",""
"09/01/2015 14:00:00 - 09/01/2015 15:00:00","BZN|CH","Without sequence","46.92","",""
"09/01/2015 15:00:00 - 09/01/2015 16:00:00","BZN|CH","Without sequence","46.95","",""
"09/01/2015 16:00:00 - 09/01/2015 17:00:00","BZN|CH","Without sequence","46.95","",""
"09/01/2015 17:00:00 - 09/01/2015 18:00:00","BZN|CH","Without sequence","45.96","",""
"09/01/2015 18:00:00 - 09/01/2015 19:00:00","BZN|CH","Without sequence","45.91","",""
"09/01/2015 19:00:00 - 09/01/2015 20:00:00","BZN|CH","Without sequence","44.94","",""
"09/01/2015 20:00:00 - 09/01/2015 21:00:00","BZN|CH","Without sequence","44.58","",""
"09/01/2015 21:00:00 - 09/01/2015 22:00:00","BZN|CH","Without sequence","44.95","",""
"09/01/2015 22:00:00 - 09/01/2015 23:00:00","BZN|CH","Without sequence","45.66","",""
"09/01/2015 23:00:00 - 10/01/2015 00:00:00","BZN|CH","Without sequence","43.28","",""
"10/01/2015 00:00:00 - 10/01/2015 01:00:00","BZN|CH","Without sequence","37.06","",""
"10/01/2015 01:00:00 - 10/01/2015 02:00:00","BZN|CH","Without sequence","35.08","",""
"10/01/2015 02:00:00 - 10/01/2015 03:00:00","BZN|CH","Without sequence","32.04","",""
"10/01/2015 03:00:00 - 10/01/2015 04:00:00","BZN|CH","Without sequence","32.0","",""
"10/01/2015 04:00:00 - 10/01/2015 05:00:00","BZN|CH","Without sequence","29.86","",""
"10/01/2015 05:00:00 - 10/01/2015 06:00:00","BZN|CH","Without sequence","32.0","",""
"10/01/2015 06:00:00 - 10/01/2015 07:00:00","BZN|CH","Without sequence","30.99","",""
"10/01/2015 07:00:00 - 10/01/2015 08:00:00","BZN|CH","Without sequence","37.08","",""
"10/01/2015 08:00:00 - 10/01/2015 09:00:00","BZN|CH","Without sequence","41.06","",""
"10/01/2015 09:00:00 - 10/01/2015 10:00:00","BZN|CH","Without sequence","41.47","",""
"10/01/2015 10:00:00 - 10/01/2015 11:00:00","BZN|CH","Without sequence","42.01","",""
"10/01/2015 11:00:00 - 10/01/2015 12:00:00","BZN|CH","Without sequence","42.75","",""
"10/01/2015 12:00:00 - 10/01/2015 13:00:00","BZN|CH","Without sequence","41.81","",""
"10/01/2015 13:00:00 - 10/01/2015 14:00:00","BZN|CH","Without sequence","37.06","",""
"10/01/2015 14:00:00 - 10/01/2015 15:00:00","BZN|CH","Without sequence","41.1","",""
"10/01/2015 15:00:00 - 10/01/2015 16:00:00","BZN|CH","Without sequence","43.71","",""
"10/01/2015 16:00:00 - 10/01/2015 17:00:00","BZN|CH","Without sequence","44.92","",""
"10/01/2015 17:00:00 - 10/01/2015 18:00:00","BZN|CH","Without sequence","45.83","",""
"10/01/2015 18:00:00 - 10/01/2015 19:00:00","BZN|CH","Without sequence","44.96","",""
"10/01/2015 19:00:00 - 10/01/2015 20:00:00","BZN|CH","Without sequence","42.05","",""
"10/01/2015 20:00:00 - 10/01/2015 21:00:00","BZN|CH","Without sequence","41.42","",""
"10/01/2015 21:00:00 - 10/01/2015 22:00:00","BZN|CH","Without sequence","41.4","",""
"10/01/2015 22:00:00 - 10/01/2015 23:00:00","BZN|CH","Without sequence","41.45","",""
"10/01/2015 23:00:00 - 11/01/2015 00:00:00","BZN|CH","Without sequence","32.07","",""
"11/01/2015 00:00:00 - 11/01/2015 01:00:00","BZN|CH","Without sequence","37.63","",""
"11/01/2015 01:00:00 - 11/01/2015 02:00:00","BZN|CH","Without sequence","29.37","",""
"11/01/2015 02:00:00 - 11/01/2015 03:00:00","BZN|CH","Without sequence","25.09","",""
"11/01/2015 03:00:00 - 11/01/2015 04:00:00","BZN|CH","Without sequence","12.08","",""
"11/01/2015 04:00:00 - 11/01/2015 05:00:00","BZN|CH","Without sequence","11.02","",""
"11/01/2015 05:00:00 - 11/01/2015 06:00:00","BZN|CH","Without sequence","11.09","",""
"11/01/2015 06:00:00 - 11/01/2015 07:00:00","BZN|CH","Without sequence","21.09","",""
"11/01/2015 07:00:00 - 11/01/2015 08:00:00","BZN|CH","Without sequence","15.5","",""
"11/01/2015 08:00:00 - 11/01/2015 09:00:00","BZN|CH","Without sequence","18.39","",""
"11/01/2015 09:00:00 - 11/01/2015 10:00:00","BZN|CH","Without sequence","28.65","",""
"11/01/2015 10:00:00 - 11/01/2015 11:00:00","BZN|CH","Without sequence","33.88","",""
"11/01/2015 11:00:00 - 11/01/2015 12:00:00","BZN|CH","Without sequence","33.93","",""
"11/01/2015 12:00:00 - 11/01/2015 13:00:00","BZN|CH","Without sequence","36.59","",""
"11/01/2015 13:00:00 - 11/01/2015 14:00:00","BZN|CH","Without sequence","20.63","",""
"11/01/2015 14:00:00 - 11/01/2015 15:00:00","BZN|CH","Without sequence","29.58","",""
"11/01/2015 15:00:00 - 11/01/2015 16:00:00","BZN|CH","Without sequence","34.93","",""
"11/01/2015 16:00:00 - 11/01/2015 17:00:00","BZN|CH","Without sequence","43.0","",""
"11/01/2015 17:00:00 - 11/01/2015 18:00:00","BZN|CH","Without sequence","45.02","",""
"11/01/2015 18:00:00 - 11/01/2015 19:00:00","BZN|CH","Without sequence","45.1","",""
"11/01/2015 19:00:00 - 11/01/2015 20:00:00","BZN|CH","Without sequence","44.33","",""
"11/01/2015 20:00:00 - 11/01/2015 21:00:00","BZN|CH","Without sequence","42.93","",""
"11/01/2015 21:00:00 - 11/01/2015 22:00:00","BZN|CH","Without sequence","43.04","",""
"11/01/2015 22:00:00 - 11/01/2015 23:00:00","BZN|CH","Without sequence","41.98","",""
"11/01/2015 23:00:00 - 12/01/2015 00:00:00","BZN|CH","Without sequence","38.7","",""
"12/01/2015 00:00:00 - 12/01/2015 01:00:00","BZN|CH","Without sequence","28.08","",""
"12/01/2015 01:00:00 - 12/01/2015 02:00:00","BZN|CH","Without sequence","25.06","",""
"12/01/2015 02:00:00 - 12/01/2015 03:00:00","BZN|CH","Without sequence","19.66","",""
"12/01/2015 03:00:00 - 12/01/2015 04:00:00","BZN|CH","Without sequence","14.67","",""
"12/01/2015 04:00:00 - 12/01/2015 05:00:00","BZN|CH","Without sequence","23.45","",""
"12/01/2015 05:00:00 - 12/01/2015 06:00:00","BZN|CH","Without sequence","36.37","",""
"12/01/2015 06:00:00 - 12/01/2015 07:00:00","BZN|CH","Without sequence","45.86","",""
"12/01/2015 07:00:00 - 12/01/2015 08:00:00","BZN|CH","Without sequence","47.95","",""
"12/01/2015 08:00:00 - 12/01/2015 09:00:00","BZN|CH","Without sequence","47.72","",""
"12/01/2015 09:00:00 - 12/01/2015 10:00:00","BZN|CH","Without sequence","47.17","",""
"12/01/2015 10:00:00 - 12/01/2015 11:00:00","BZN|CH","Without sequence","46.34","",""
"12/01/2015 11:00:00 - 12/01/2015 12:00:00","BZN|CH","Without sequence","46.82","",""
"12/01/2015 12:00:00 - 12/01/2015 13:00:00","BZN|CH","Without sequence","45.18","",""
"12/01/2015 13:00:00 - 12/01/2015 14:00:00","BZN|CH","Without sequence","43.92","",""
"12/01/2015 14:00:00 - 12/01/2015 15:00:00","BZN|CH","Without sequence","44.86","",""
"12/01/2015 15:00:00 - 12/01/2015 16:00:00","BZN|CH","Without sequence","45.0","",""
"12/01/2015 16:00:00 - 12/01/2015 17:00:00","BZN|CH","Without sequence","45.8","",""
"12/01/2015 17:00:00 - 12/01/2015 18:00:00","BZN|CH","Without sequence","43.32","",""
