PV,Wind OFFSH,Wind ONSH,Month,Holiday,Season_Autumn,Season_Spring,Season_Summer,Season_Winter,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,
25340.44,1292.32,3514.72,7,0,False,False,True,False,False,False,False,False,False,False,True,31381.84
23698.99,1324.78,3466.26,7,0,False,False,True,False,False,False,False,False,False,False,True,29661.54
21960.94,1335.37,3425.89,7,0,False,False,True,False,False,False,False,False,False,False,True,27798.97
20057.97,1331.47,3367.32,7,0,False,False,True,False,False,False,False,False,False,False,True,25766.12
18007.83,1341.19,3298.63,7,0,False,False,True,False,False,False,False,False,False,False,True,23552.44
15863.00,1341.93,3221.32,7,0,False,False,True,False,False,False,False,False,False,False,True,21133.00
13694.65,1348.63,3145.70,7,0,False,False,True,False,False,False,False,False,False,False,True,18581.84
11592.23,1352.08,3070.15,7,0,False,False,True,False,False,False,False,False,False,False,True,16025.96
9580.06,1350.46,2972.82,7,0,False,False,True,False,False,False,False,False,False,False,True,13484.42
7704.90,1350.31,2813.91,7,0,False,False,True,False,False,False,False,False,False,False,True,10965.34
6072.51,1344.17,2654.96,7,0,False,False,True,False,False,False,False,False,False,False,True,8590.87
4752.34,1338.65,2512.20,7,0,False,False,True,False,False,False,False,False,False,False,True,6535.36
3666.56,1329.22,2388.89,7,0,False,False,True,False,False,False,False,False,False,False,True,4804.15
2686.36,1324.90,2302.04,7,0,False,False,True,False,False,False,False,False,False,False,True,3288.72
1826.65,1321.59,2227.06,7,0,False,False,True,False,False,False,False,False,False,False,True,2032.07
1078.84,1307.30,2168.19,7,0,False,False,True,False,False,False,False,False,False,False,True,1034.45
507.74,1289.69,2136.25,7,0,False,False,True,False,False,False,False,False,False,False,True,415.89
179.47,1271.67,2110.06,7,0,False,False,True,False,False,False,False,False,False,False,True,141.86
52.82,1253.67,2074.69,7,0,False,False,True,False,False,False,False,False,False,False,True,50.60
17.97,1229.50,2033.84,7,0,False,False,True,False,False,False,False,False,False,False,True,0.00
0.00,1199.64,1984.86,7,0,False,False,True,False,False,False,False,False,False,False,True,0.00
0.00,1176.03,1963.69,7,0,False,False,True,False,False,False,False,False,False,False,True,0.00
0.00,1150.43,1944.11,7,0,False,False,True,False,False,False,False,False,False,False,True,0.00
0.00,1122.93,1923.70,7,0,False,False,True,False,False,False,False,False,False,False,True,0.00
0.00,1102.45,1901.22,7,0,False,False,True,False,False,False,False,False,False,False,True,0.00
0.00,1061.13,1860.05,7,0,False,False,True,False,False,False,False,False,False,False,True,0.00
0.00,1027.85,1814.81,7,0,False,False,True,False,False,False,False,False,False,False,True,0.00
0.00,990.57,1774.60,7,0,False,False,True,False,False,False,False,False,False,False,True,0.00
