"MTU (CET/CEST)","Generation - Solar [MW] Day Ahead/ BZN|DE-LU","Generation - Solar [MW] Intraday / BZN|DE-LU","Generation - Solar [MW] Current / BZN|DE-LU","Generation - Wind Offshore [MW] Day Ahead/ BZN|DE-LU","Generation - Wind Offshore [MW] Intraday / BZN|DE-LU","Generation - Wind Offshore [MW] Current / BZN|DE-LU","Generation - Wind Onshore [MW] Day Ahead/ BZN|DE-LU","Generation - Wind Onshore [MW] Intraday / BZN|DE-LU","Generation - Wind Onshore [MW] Current / BZN|DE-LU"
"01.01.2023 14:15 - 01.01.2023 14:30","6512","6869","5917","5511","5419","4740","20161","22026","20568"
"01.01.2023 14:30 - 01.01.2023 14:45","5508","5754","4916","5506","5433","5141","19743","21580","20179"
"01.01.2023 14:45 - 01.01.2023 15:00","4494","4639","3869","5492","5446","5447","19274","21113","20377"
"01.01.2023 15:00 - 01.01.2023 15:15","3548","3621","3011","5477","5351","5997","18807","20594","19833"
"01.01.2023 15:15 - 01.01.2023 15:30","2705","2710","2263","5786","5359","6160","18488","20169","19579"
"01.01.2023 15:30 - 01.01.2023 15:45","1933","1888","1607","5761","5360","6176","18218","19747","19366"
"01.01.2023 15:45 - 01.01.2023 16:00","1235","1190","959","5736","5366","6367","17973","19334","20046"
"01.01.2023 16:00 - 01.01.2023 16:15","689","631","428","5708","5369","6401","17784","18942","20044"
"01.01.2023 16:15 - 01.01.2023 16:30","309","262","75","5682","5362","6411","17716","18774","19917"
"01.01.2023 16:30 - 01.01.2023 16:45","68","57","18","5655","5354","6440","17715","18509","19770"
"01.01.2023 16:45 - 01.01.2023 17:00","13","11","3","5638","5347","6431","17574","18233","19460"
"01.01.2023 17:00 - 01.01.2023 17:15","0","0","0","5609","5776","6460","17595","18005","18975"
"01.01.2023 17:15 - 01.01.2023 17:30","0","0","0","5568","5758","6287","17746","17930","18694"
"01.01.2023 17:30 - 01.01.2023 17:45","0","0","0","5529","5743","6322","17918","17879","18464"
"01.01.2023 17:45 - 01.01.2023 18:00","0","0","0","5489","5866","6362","18016","17801","18161"
"01.01.2023 18:00 - 01.01.2023 18:15","0","0","0","5446","5848","6503","18191","17763","17842"
"01.01.2023 18:15 - 01.01.2023 18:30","0","0","0","5421","5828","6319","18355","17860","18325"
"01.01.2023 18:30 - 01.01.2023 18:45","0","0","0","5388","5797","6222","18437","17787","18350"
"01.01.2023 18:45 - 01.01.2023 19:00","0","0","0","5363","5775","6209","18577","17764","18372"
"01.01.2023 19:00 - 01.01.2023 19:15","0","0","0","5339","5912","6133","18790","17809","18448"
"01.01.2023 19:15 - 01.01.2023 19:30","0","0","0","5312","5863","6056","18908","17775","18398"
"01.01.2023 19:30 - 01.01.2023 19:45","0","0","0","5281","5811","5991","18963","17676","18493"
"01.01.2023 19:45 - 01.01.2023 20:00","0","0","0","5256","5755","5944","18985","17514","18393"
"01.01.2023 20:00 - 01.01.2023 20:15","0","0","0","5227","5705","5864","18908","17268","18297"
"01.01.2023 20:15 - 01.01.2023 20:30","0","0","0","5193","5656","5774","18418","16816","18352"
"01.01.2023 20:30 - 01.01.2023 20:45","0","0","0","5156","5619","5727","18001","16434","18391"
"01.01.2023 20:45 - 01.01.2023 21:00","0","0","0","5145","5569","5704","18015","16351","18467"
"01.01.2023 21:00 - 01.01.2023 21:15","0","0","0","5087","5514","5656","18047","16268","18411"
"01.01.2023 21:15 - 01.01.2023 21:30","0","0","0","4999","5433","5567","18103","16175","18545"
"01.01.2023 21:30 - 01.01.2023 21:45","0","0","0","4986","5349","5608","18162","16086","18530"
"01.01.2023 21:45 - 01.01.2023 22:00","0","0","0","4889","5259","5465","18236","16017","18722"
"01.01.2023 22:00 - 01.01.2023 22:15","0","0","0","4816","5186","5487","18108","15780","18462"
"01.01.2023 22:15 - 01.01.2023 22:30","0","0","0","4695","5067","5533","18174","15710","18262"
"01.01.2023 22:30 - 01.01.2023 22:45","0","0","0","4580","4944","5359","18239","15644","18272"
"01.01.2023 22:45 - 01.01.2023 23:00","0","0","0","4457","4816","5088","18299","15584","18376"
"01.01.2023 23:00 - 01.01.2023 23:15","0","0","0","4343","4683","4726","18350","15541","18338"
"01.01.2023 23:15 - 01.01.2023 23:30","0","0","0","4238","4508","4374","18428","15578","18336"
"01.01.2023 23:30 - 01.01.2023 23:45","0","0","0","4141","4338","4048","18502","15613","18222"
"01.01.2023 23:45 - 02.01.2023 00:00","0","0","0","4050","4161","3839","19143","16031","18166"
"02.01.2023 00:00 - 02.01.2023 00:15","0","0","0","3872","3402","3402","17238","18410","18410"
"02.01.2023 00:15 - 02.01.2023 00:30","0","0","0","3565","3186","3186","17400","18486","18486"
"02.01.2023 00:30 - 02.01.2023 00:45","0","0","0","3255","2895","2895","17548","18527","18527"
"02.01.2023 00:45 - 02.01.2023 01:00","0","0","0","2940","2519","2519","17690","18592","18592"
"02.01.2023 01:00 - 02.01.2023 01:15","0","0","0","2623","2215","2215","17846","18672","18672"
"02.01.2023 01:15 - 02.01.2023 01:30","0","0","0","2427","1907","1907","18091","18995","18995"
"02.01.2023 01:30 - 02.01.2023 01:45","0","0","0","2243","1640","1640","18367","19272","19272"
"02.01.2023 01:45 - 02.01.2023 02:00","0","0","0","2065","1551","1551","18658","19468","19468"
"02.01.2023 02:00 - 02.01.2023 02:15","0","0","0","1896","1478","1478","18962","19692","19692"
"02.01.2023 02:15 - 02.01.2023 02:30","0","0","0","1777","1407","1407","19332","20096","20096"
"02.01.2023 02:30 - 02.01.2023 02:45","0","0","0","1664","1362","1362","19712","20438","20438"
"02.01.2023 02:45 - 02.01.2023 03:00","0","0","0","1556","1268","1268","20088","20727","20727"
"02.01.2023 03:00 - 02.01.2023 03:15","0","0","0","1462","1059","1059","20459","21478","21478"
"02.01.2023 03:15 - 02.01.2023 03:30","0","0","0","1395","967","967","20811","21946","21946"
"02.01.2023 03:30 - 02.01.2023 03:45","0","0","0","1323","842","842","21161","22470","22470"
"02.01.2023 03:45 - 02.01.2023 04:00","0","0","0","1259","834","834","21506","22954","22954"
"02.01.2023 04:00 - 02.01.2023 04:15","0","0","0","1206","810","810","21846","23322","23322"
"02.01.2023 04:15 - 02.01.2023 04:30","0","0","0","1166","834","834","22112","23832","23832"
"02.01.2023 04:30 - 02.01.2023 04:45","0","0","0","1121","810","810","22382","24133","24133"
"02.01.2023 04:45 - 02.01.2023 05:00","0","0","0","1075","816","816","22645","24256","24256"
