"MTU (CET/CEST)","Area","Sequence","Day-ahead Price (EUR/MWh)","Intraday Period (CET/CEST)","Intraday Price (EUR/MWh)"
"01/01/2015 00:00:00 - 01/01/2015 00:15:00","BZN|AT","Sequence 2","85.72","",""
"01/01/2015 00:15:00 - 01/01/2015 00:30:00","BZN|AT","Sequence 2","67.5","",""
"01/01/2015 00:30:00 - 01/01/2015 00:45:00","BZN|AT","Sequence 2","34.64","",""
"01/01/2015 00:45:00 - 01/01/2015 01:00:00","BZN|AT","Sequence 2","20.0","",""
"01/01/2015 01:00:00 - 01/01/2015 01:15:00","BZN|AT","Sequence 2","88.2","",""
"01/01/2015 01:15:00 - 01/01/2015 01:30:00","BZN|AT","Sequence 2","61.72","",""
"01/01/2015 01:30:00 - 01/01/2015 01:45:00","BZN|AT","Sequence 2","28.0","",""
"01/01/2015 01:45:00 - 01/01/2015 02:00:00","BZN|AT","Sequence 2","15.68","",""
"01/01/2015 02:00:00 - 01/01/2015 02:15:00","BZN|AT","Sequence 2","65.08","",""
"01/01/2015 02:15:00 - 01/01/2015 02:30:00","BZN|AT","Sequence 2","54.18","",""
"01/01/2015 02:30:00 - 01/01/2015 02:45:00","BZN|AT","Sequence 2","40.72","",""
"01/01/2015 02:45:00 - 01/01/2015 03:00:00","BZN|AT","Sequence 2","20.4","",""
"01/01/2015 03:00:00 - 01/01/2015 03:15:00","BZN|AT","Sequence 2","46.82","",""
"01/01/2015 03:15:00 - 01/01/2015 03:30:00","BZN|AT","Sequence 2","39.38","",""
"01/01/2015 03:30:00 - 01/01/2015 03:45:00","BZN|AT","Sequence 2","39.46","",""
"01/01/2015 03:45:00 - 01/01/2015 04:00:00","BZN|AT","Sequence 2","36.46","",""
"01/01/2015 04:00:00 - 01/01/2015 04:15:00","BZN|AT","Sequence 2","22.6","",""
"01/01/2015 04:15:00 - 01/01/2015 04:30:00","BZN|AT","Sequence 2","24.78","",""
"01/01/2015 04:30:00 - 01/01/2015 04:45:00","BZN|AT","Sequence 2","47.76","",""
"01/01/2015 04:45:00 - 01/01/2015 05:00:00","BZN|AT","Sequence 2","58.2","",""
"01/01/2015 05:00:00 - 01/01/2015 05:15:00","BZN|AT","Sequence 2","31.06","",""
"01/01/2015 05:15:00 - 01/01/2015 05:30:00","BZN|AT","Sequence 2","29.68","",""
"01/01/2015 05:30:00 - 01/01/2015 05:45:00","BZN|AT","Sequence 2","32.24","",""
"01/01/2015 05:45:00 - 01/01/2015 06:00:00","BZN|AT","Sequence 2","45.94","",""
"01/01/2015 06:00:00 - 01/01/2015 06:15:00","BZN|AT","Sequence 2","3.44","",""
"01/01/2015 06:15:00 - 01/01/2015 06:30:00","BZN|AT","Sequence 2","20.16","",""
"01/01/2015 06:30:00 - 01/01/2015 06:45:00","BZN|AT","Sequence 2","47.36","",""
"01/01/2015 06:45:00 - 01/01/2015 07:00:00","BZN|AT","Sequence 2","67.32","",""
"01/01/2015 07:00:00 - 01/01/2015 07:15:00","BZN|AT","Sequence 2","11.8","",""
"01/01/2015 07:15:00 - 01/01/2015 07:30:00","BZN|AT","Sequence 2","25.22","",""
