"MTU (CET/CEST)","Area","Sequence","Day-ahead Price (EUR/MWh)","Intraday Period (CET/CEST)","Intraday Price (EUR/MWh)"
"01/01/2018 00:00:00 - 01/01/2018 00:15:00","BZN|AT","Sequence 2","-6.0","",""
"01/01/2018 00:15:00 - 01/01/2018 00:30:00","BZN|AT","Sequence 2","-20.0","",""
"01/01/2018 00:30:00 - 01/01/2018 00:45:00","BZN|AT","Sequence 2","-20.0","",""
"01/01/2018 00:45:00 - 01/01/2018 01:00:00","BZN|AT","Sequence 2","-22.79","",""
"01/01/2018 01:00:00 - 01/01/2018 01:15:00","BZN|AT","Sequence 2","-20.0","",""
"01/01/2018 01:15:00 - 01/01/2018 01:30:00","BZN|AT","Sequence 2","-33.9","",""
"01/01/2018 01:30:00 - 01/01/2018 01:45:00","BZN|AT","Sequence 2","-26.81","",""
"01/01/2018 01:45:00 - 01/01/2018 02:00:00","BZN|AT","Sequence 2","-41.3","",""
"01/01/2018 02:00:00 - 01/01/2018 02:15:00","BZN|AT","Sequence 2","-20.0","",""
"01/01/2018 02:15:00 - 01/01/2018 02:30:00","BZN|AT","Sequence 2","-38.1","",""
"01/01/2018 02:30:00 - 01/01/2018 02:45:00","BZN|AT","Sequence 2","-39.08","",""
"01/01/2018 02:45:00 - 01/01/2018 03:00:00","BZN|AT","Sequence 2","-43.2","",""
"01/01/2018 03:00:00 - 01/01/2018 03:15:00","BZN|AT","Sequence 2","-37.4","",""
"01/01/2018 03:15:00 - 01/01/2018 03:30:00","BZN|AT","Sequence 2","-39.4","",""
"01/01/2018 03:30:00 - 01/01/2018 03:45:00","BZN|AT","Sequence 2","-41.19","",""
"01/01/2018 03:45:00 - 01/01/2018 04:00:00","BZN|AT","Sequence 2","-42.0","",""
"01/01/2018 04:00:00 - 01/01/2018 04:15:00","BZN|AT","Sequence 2","-42.57","",""
"01/01/2018 04:15:00 - 01/01/2018 04:30:00","BZN|AT","Sequence 2","-40.0","",""
"01/01/2018 04:30:00 - 01/01/2018 04:45:00","BZN|AT","Sequence 2","-50.5","",""
"01/01/2018 04:45:00 - 01/01/2018 05:00:00","BZN|AT","Sequence 2","-40.0","",""
"01/01/2018 05:00:00 - 01/01/2018 05:15:00","BZN|AT","Sequence 2","-46.9","",""
"01/01/2018 05:15:00 - 01/01/2018 05:30:00","BZN|AT","Sequence 2","-53.7","",""
"01/01/2018 05:30:00 - 01/01/2018 05:45:00","BZN|AT","Sequence 2","-51.7","",""
"01/01/2018 05:45:00 - 01/01/2018 06:00:00","BZN|AT","Sequence 2","-47.7","",""
"01/01/2018 06:00:00 - 01/01/2018 06:15:00","BZN|AT","Sequence 2","-56.6","",""
"01/01/2018 06:15:00 - 01/01/2018 06:30:00","BZN|AT","Sequence 2","-45.4","",""
"01/01/2018 06:30:00 - 01/01/2018 06:45:00","BZN|AT","Sequence 2","-37.1","",""
"01/01/2018 06:45:00 - 01/01/2018 07:00:00","BZN|AT","Sequence 2","-29.05","",""
"01/01/2018 07:00:00 - 01/01/2018 07:15:00","BZN|AT","Sequence 2","-63.13","",""
"01/01/2018 07:15:00 - 01/01/2018 07:30:00","BZN|AT","Sequence 2","-40.6","",""
"01/01/2018 07:30:00 - 01/01/2018 07:45:00","BZN|AT","Sequence 2","-38.8","",""
"01/01/2018 07:45:00 - 01/01/2018 08:00:00","BZN|AT","Sequence 2","-34.0","",""
"01/01/2018 08:00:00 - 01/01/2018 08:15:00","BZN|AT","Sequence 2","-69.19","",""
"01/01/2018 08:15:00 - 01/01/2018 08:30:00","BZN|AT","Sequence 2","-30.5","",""
