"MTU (CET/CEST)","Area","Sequence","Day-ahead Price (EUR/MWh)","Intraday Period (CET/CEST)","Intraday Price (EUR/MWh)"
"01/01/2016 00:00:00 - 01/01/2016 00:15:00","BZN|AT","Sequence 2","30.86","",""
"01/01/2016 00:15:00 - 01/01/2016 00:30:00","BZN|AT","Sequence 2","18.9","",""
"01/01/2016 00:30:00 - 01/01/2016 00:45:00","BZN|AT","Sequence 2","16.24","",""
"01/01/2016 00:45:00 - 01/01/2016 01:00:00","BZN|AT","Sequence 2","12.0","",""
"01/01/2016 01:00:00 - 01/01/2016 01:15:00","BZN|AT","Sequence 2","21.62","",""
"01/01/2016 01:15:00 - 01/01/2016 01:30:00","BZN|AT","Sequence 2","18.46","",""
"01/01/2016 01:30:00 - 01/01/2016 01:45:00","BZN|AT","Sequence 2","16.92","",""
"01/01/2016 01:45:00 - 01/01/2016 02:00:00","BZN|AT","Sequence 2","17.0","",""
"01/01/2016 02:00:00 - 01/01/2016 02:15:00","BZN|AT","Sequence 2","22.06","",""
"01/01/2016 02:15:00 - 01/01/2016 02:30:00","BZN|AT","Sequence 2","16.91","",""
"01/01/2016 02:30:00 - 01/01/2016 02:45:00","BZN|AT","Sequence 2","12.46","",""
"01/01/2016 02:45:00 - 01/01/2016 03:00:00","BZN|AT","Sequence 2","18.46","",""
"01/01/2016 03:00:00 - 01/01/2016 03:15:00","BZN|AT","Sequence 2","15.0","",""
"01/01/2016 03:15:00 - 01/01/2016 03:30:00","BZN|AT","Sequence 2","10.53","",""
"01/01/2016 03:30:00 - 01/01/2016 03:45:00","BZN|AT","Sequence 2","15.35","",""
"01/01/2016 03:45:00 - 01/01/2016 04:00:00","BZN|AT","Sequence 2","17.07","",""
"01/01/2016 04:00:00 - 01/01/2016 04:15:00","BZN|AT","Sequence 2","10.97","",""
"01/01/2016 04:15:00 - 01/01/2016 04:30:00","BZN|AT","Sequence 2","11.46","",""
"01/01/2016 04:30:00 - 01/01/2016 04:45:00","BZN|AT","Sequence 2","15.79","",""
"01/01/2016 04:45:00 - 01/01/2016 05:00:00","BZN|AT","Sequence 2","13.67","",""
"01/01/2016 05:00:00 - 01/01/2016 05:15:00","BZN|AT","Sequence 2","10.2","",""
"01/01/2016 05:15:00 - 01/01/2016 05:30:00","BZN|AT","Sequence 2","13.53","",""
"01/01/2016 05:30:00 - 01/01/2016 05:45:00","BZN|AT","Sequence 2","15.78","",""
"01/01/2016 05:45:00 - 01/01/2016 06:00:00","BZN|AT","Sequence 2","17.4","",""
"01/01/2016 06:00:00 - 01/01/2016 06:15:00","BZN|AT","Sequence 2","13.39","",""
"01/01/2016 06:15:00 - 01/01/2016 06:30:00","BZN|AT","Sequence 2","16.55","",""
"01/01/2016 06:30:00 - 01/01/2016 06:45:00","BZN|AT","Sequence 2","13.95","",""
"01/01/2016 06:45:00 - 01/01/2016 07:00:00","BZN|AT","Sequence 2","20.5","",""
"01/01/2016 07:00:00 - 01/01/2016 07:15:00","BZN|AT","Sequence 2","10.66","",""
"01/01/2016 07:15:00 - 01/01/2016 07:30:00","BZN|AT","Sequence 2","14.98","",""
"01/01/2016 07:30:00 - 01/01/2016 07:45:00","BZN|AT","Sequence 2","20.3","",""
"01/01/2016 07:45:00 - 01/01/2016 08:00:00","BZN|AT","Sequence 2","25.87","",""
