"MTU (CET/CEST)","Area","Sequence","Day-ahead Price (EUR/MWh)","Intraday Period (CET/CEST)","Intraday Price (EUR/MWh)"
"01/01/2024 00:00:00 - 01/01/2024 01:00:00","BZN|CH","Without sequence","25.97","",""
"01/01/2024 01:00:00 - 01/01/2024 02:00:00","BZN|CH","Without sequence","21.99","",""
"01/01/2024 02:00:00 - 01/01/2024 03:00:00","BZN|CH","Without sequence","14.32","",""
"01/01/2024 03:00:00 - 01/01/2024 04:00:00","BZN|CH","Without sequence","11.37","",""
"01/01/2024 04:00:00 - 01/01/2024 05:00:00","BZN|CH","Without sequence","11.35","",""
"01/01/2024 05:00:00 - 01/01/2024 06:00:00","BZN|CH","Without sequence","11.39","",""
"01/01/2024 06:00:00 - 01/01/2024 07:00:00","BZN|CH","Without sequence","11.34","",""
"01/01/2024 07:00:00 - 01/01/2024 08:00:00","BZN|CH","Without sequence","8.31","",""
"01/01/2024 08:00:00 - 01/01/2024 09:00:00","BZN|CH","Without sequence","8.51","",""
"01/01/2024 09:00:00 - 01/01/2024 10:00:00","BZN|CH","Without sequence","10.63","",""
"01/01/2024 10:00:00 - 01/01/2024 11:00:00","BZN|CH","Without sequence","9.75","",""
"01/01/2024 11:00:00 - 01/01/2024 12:00:00","BZN|CH","Without sequence","8.24","",""
"01/01/2024 12:00:00 - 01/01/2024 13:00:00","BZN|CH","Without sequence","10.71","",""
"01/01/2024 13:00:00 - 01/01/2024 14:00:00","BZN|CH","Without sequence","9.31","",""
"01/01/2024 14:00:00 - 01/01/2024 15:00:00","BZN|CH","Without sequence","11.51","",""
"01/01/2024 15:00:00 - 01/01/2024 16:00:00","BZN|CH","Without sequence","20.41","",""
"01/01/2024 16:00:00 - 01/01/2024 17:00:00","BZN|CH","Without sequence","29.09","",""
"01/01/2024 17:00:00 - 01/01/2024 18:00:00","BZN|CH","Without sequence","42.1","",""
"01/01/2024 18:00:00 - 01/01/2024 19:00:00","BZN|CH","Without sequence","48.83","",""
"01/01/2024 19:00:00 - 01/01/2024 20:00:00","BZN|CH","Without sequence","43.31","",""
"01/01/2024 20:00:00 - 01/01/2024 21:00:00","BZN|CH","Without sequence","42.59","",""
"01/01/2024 21:00:00 - 01/01/2024 22:00:00","BZN|CH","Without sequence","35.0","",""
"01/01/2024 22:00:00 - 01/01/2024 23:00:00","BZN|CH","Without sequence","34.01","",""
"01/01/2024 23:00:00 - 02/01/2024 00:00:00","BZN|CH","Without sequence","26.07","",""
"02/01/2024 00:00:00 - 02/01/2024 01:00:00","BZN|CH","Without sequence","22.24","",""
"02/01/2024 01:00:00 - 02/01/2024 02:00:00","BZN|CH","Without sequence","14.0","",""
"02/01/2024 02:00:00 - 02/01/2024 03:00:00","BZN|CH","Without sequence","11.32","",""
"02/01/2024 03:00:00 - 02/01/2024 04:00:00","BZN|CH","Without sequence","9.66","",""
"02/01/2024 04:00:00 - 02/01/2024 05:00:00","BZN|CH","Without sequence","10.01","",""
"02/01/2024 05:00:00 - 02/01/2024 06:00:00","BZN|CH","Without sequence","11.36","",""
"02/01/2024 06:00:00 - 02/01/2024 07:00:00","BZN|CH","Without sequence","19.89","",""
"02/01/2024 07:00:00 - 02/01/2024 08:00:00","BZN|CH","Without sequence","40.56","",""
"02/01/2024 08:00:00 - 02/01/2024 09:00:00","BZN|CH","Without sequence","48.36","",""
"02/01/2024 09:00:00 - 02/01/2024 10:00:00","BZN|CH","Without sequence","51.81","",""
"02/01/2024 10:00:00 - 02/01/2024 11:00:00","BZN|CH","Without sequence","51.89","",""
