"MTU (CET/CEST)","Area","Sequence","Day-ahead Price (EUR/MWh)","Intraday Period (CET/CEST)","Intraday Price (EUR/MWh)"
"05/01/2015 00:00:00 - 05/01/2015 01:00:00","BZN|FR","Without sequence","36.56","",""
"05/01/2015 01:00:00 - 05/01/2015 02:00:00","BZN|FR","Without sequence","34.94","",""
"05/01/2015 02:00:00 - 05/01/2015 03:00:00","BZN|FR","Without sequence","32.19","",""
"05/01/2015 03:00:00 - 05/01/2015 04:00:00","BZN|FR","Without sequence","23.53","",""
"05/01/2015 04:00:00 - 05/01/2015 05:00:00","BZN|FR","Without sequence","22.92","",""
"05/01/2015 05:00:00 - 05/01/2015 06:00:00","BZN|FR","Without sequence","34.26","",""
"05/01/2015 06:00:00 - 05/01/2015 07:00:00","BZN|FR","Without sequence","44.28","",""
"05/01/2015 07:00:00 - 05/01/2015 08:00:00","BZN|FR","Without sequence","50.38","",""
"05/01/2015 08:00:00 - 05/01/2015 09:00:00","BZN|FR","Without sequence","53.79","",""
"05/01/2015 09:00:00 - 05/01/2015 10:00:00","BZN|FR","Without sequence","52.03","",""
"05/01/2015 10:00:00 - 05/01/2015 11:00:00","BZN|FR","Without sequence","50.6","",""
"05/01/2015 11:00:00 - 05/01/2015 12:00:00","BZN|FR","Without sequence","50.5","",""
"05/01/2015 12:00:00 - 05/01/2015 13:00:00","BZN|FR","Without sequence","48.45","",""
"05/01/2015 13:00:00 - 05/01/2015 14:00:00","BZN|FR","Without sequence","44.54","",""
"05/01/2015 14:00:00 - 05/01/2015 15:00:00","BZN|FR","Without sequence","42.0","",""
"05/01/2015 15:00:00 - 05/01/2015 16:00:00","BZN|FR","Without sequence","43.1","",""
"05/01/2015 16:00:00 - 05/01/2015 17:00:00","BZN|FR","Without sequence","46.7","",""
"05/01/2015 17:00:00 - 05/01/2015 18:00:00","BZN|FR","Without sequence","56.78","",""
"05/01/2015 18:00:00 - 05/01/2015 19:00:00","BZN|FR","Without sequence","58.84","",""
"05/01/2015 19:00:00 - 05/01/2015 20:00:00","BZN|FR","Without sequence","53.6","",""
"05/01/2015 20:00:00 - 05/01/2015 21:00:00","BZN|FR","Without sequence","46.9","",""
"05/01/2015 21:00:00 - 05/01/2015 22:00:00","BZN|FR","Without sequence","44.58","",""
"05/01/2015 22:00:00 - 05/01/2015 23:00:00","BZN|FR","Without sequence","48.7","",""
"05/01/2015 23:00:00 - 06/01/2015 00:00:00","BZN|FR","Without sequence","46.06","",""
"06/01/2015 00:00:00 - 06/01/2015 01:00:00","BZN|FR","Without sequence","45.56","",""
"06/01/2015 01:00:00 - 06/01/2015 02:00:00","BZN|FR","Without sequence","40.28","",""
"06/01/2015 02:00:00 - 06/01/2015 03:00:00","BZN|FR","Without sequence","39.2","",""
"06/01/2015 03:00:00 - 06/01/2015 04:00:00","BZN|FR","Without sequence","36.22","",""
"06/01/2015 04:00:00 - 06/01/2015 05:00:00","BZN|FR","Without sequence","34.04","",""
"06/01/2015 05:00:00 - 06/01/2015 06:00:00","BZN|FR","Without sequence","38.58","",""
"06/01/2015 06:00:00 - 06/01/2015 07:00:00","BZN|FR","Without sequence","43.32","",""
"06/01/2015 07:00:00 - 06/01/2015 08:00:00","BZN|FR","Without sequence","50.0","",""
"06/01/2015 08:00:00 - 06/01/2015 09:00:00","BZN|FR","Without sequence","49.53","",""
"06/01/2015 09:00:00 - 06/01/2015 10:00:00","BZN|FR","Without sequence","50.87","",""
"06/01/2015 10:00:00 - 06/01/2015 11:00:00","BZN|FR","Without sequence","50.86","",""
"06/01/2015 11:00:00 - 06/01/2015 12:00:00","BZN|FR","Without sequence","50.17","",""
"06/01/2015 12:00:00 - 06/01/2015 13:00:00","BZN|FR","Without sequence","47.97","",""
"06/01/2015 13:00:00 - 06/01/2015 14:00:00","BZN|FR","Without sequence","45.2","",""
"06/01/2015 14:00:00 - 06/01/2015 15:00:00","BZN|FR","Without sequence","41.45","",""
"06/01/2015 15:00:00 - 06/01/2015 16:00:00","BZN|FR","Without sequence","40.08","",""
"06/01/2015 16:00:00 - 06/01/2015 17:00:00","BZN|FR","Without sequence","43.62","",""
"06/01/2015 17:00:00 - 06/01/2015 18:00:00","BZN|FR","Without sequence","48.55","",""
"06/01/2015 18:00:00 - 06/01/2015 19:00:00","BZN|FR","Without sequence","52.32","",""
"06/01/2015 19:00:00 - 06/01/2015 20:00:00","BZN|FR","Without sequence","53.1","",""
"06/01/2015 20:00:00 - 06/01/2015 21:00:00","BZN|FR","Without sequence","48.78","",""
"06/01/2015 21:00:00 - 06/01/2015 22:00:00","BZN|FR","Without sequence","43.91","",""
"06/01/2015 22:00:00 - 06/01/2015 23:00:00","BZN|FR","Without sequence","44.58","",""
"06/01/2015 23:00:00 - 07/01/2015 00:00:00","BZN|FR","Without sequence","45.73","",""
"07/01/2015 00:00:00 - 07/01/2015 01:00:00","BZN|FR","Without sequence","40.0","",""
"07/01/2015 01:00:00 - 07/01/2015 02:00:00","BZN|FR","Without sequence","36.69","",""
"07/01/2015 02:00:00 - 07/01/2015 03:00:00","BZN|FR","Without sequence","37.45","",""
"07/01/2015 03:00:00 - 07/01/2015 04:00:00","BZN|FR","Without sequence","32.08","",""
"07/01/2015 04:00:00 - 07/01/2015 05:00:00","BZN|FR","Without sequence","29.48","",""
"07/01/2015 05:00:00 - 07/01/2015 06:00:00","BZN|FR","Without sequence","34.94","",""
"07/01/2015 06:00:00 - 07/01/2015 07:00:00","BZN|FR","Without sequence","41.74","",""
"07/01/2015 07:00:00 - 07/01/2015 08:00:00","BZN|FR","Without sequence","49.17","",""
"07/01/2015 08:00:00 - 07/01/2015 09:00:00","BZN|FR","Without sequence","54.44","",""
"07/01/2015 09:00:00 - 07/01/2015 10:00:00","BZN|FR","Without sequence","50.99","",""
"07/01/2015 10:00:00 - 07/01/2015 11:00:00","BZN|FR","Without sequence","50.0","",""
"07/01/2015 11:00:00 - 07/01/2015 12:00:00","BZN|FR","Without sequence","51.22","",""
"07/01/2015 12:00:00 - 07/01/2015 13:00:00","BZN|FR","Without sequence","50.15","",""
"07/01/2015 13:00:00 - 07/01/2015 14:00:00","BZN|FR","Without sequence","51.46","",""
"07/01/2015 14:00:00 - 07/01/2015 15:00:00","BZN|FR","Without sequence","50.88","",""
"07/01/2015 15:00:00 - 07/01/2015 16:00:00","BZN|FR","Without sequence","48.0","",""
"07/01/2015 16:00:00 - 07/01/2015 17:00:00","BZN|FR","Without sequence","47.14","",""
"07/01/2015 17:00:00 - 07/01/2015 18:00:00","BZN|FR","Without sequence","51.07","",""
"07/01/2015 18:00:00 - 07/01/2015 19:00:00","BZN|FR","Without sequence","52.46","",""
"07/01/2015 19:00:00 - 07/01/2015 20:00:00","BZN|FR","Without sequence","48.78","",""
"07/01/2015 20:00:00 - 07/01/2015 21:00:00","BZN|FR","Without sequence","47.45","",""
"07/01/2015 21:00:00 - 07/01/2015 22:00:00","BZN|FR","Without sequence","42.02","",""
"07/01/2015 22:00:00 - 07/01/2015 23:00:00","BZN|FR","Without sequence","45.57","",""
"07/01/2015 23:00:00 - 08/01/2015 00:00:00","BZN|FR","Without sequence","45.6","",""
"08/01/2015 00:00:00 - 08/01/2015 01:00:00","BZN|FR","Without sequence","43.88","",""
"08/01/2015 01:00:00 - 08/01/2015 02:00:00","BZN|FR","Without sequence","35.65","",""
"08/01/2015 02:00:00 - 08/01/2015 03:00:00","BZN|FR","Without sequence","35.87","",""
"08/01/2015 03:00:00 - 08/01/2015 04:00:00","BZN|FR","Without sequence","30.17","",""
"08/01/2015 04:00:00 - 08/01/2015 05:00:00","BZN|FR","Without sequence","24.54","",""
"08/01/2015 05:00:00 - 08/01/2015 06:00:00","BZN|FR","Without sequence","32.0","",""
"08/01/2015 06:00:00 - 08/01/2015 07:00:00","BZN|FR","Without sequence","40.96","",""
"08/01/2015 07:00:00 - 08/01/2015 08:00:00","BZN|FR","Without sequence","49.53","",""
"08/01/2015 08:00:00 - 08/01/2015 09:00:00","BZN|FR","Without sequence","48.07","",""
"08/01/2015 09:00:00 - 08/01/2015 10:00:00","BZN|FR","Without sequence","48.75","",""
"08/01/2015 10:00:00 - 08/01/2015 11:00:00","BZN|FR","Without sequence","49.29","",""
"08/01/2015 11:00:00 - 08/01/2015 12:00:00","BZN|FR","Without sequence","49.33","",""
"08/01/2015 12:00:00 - 08/01/2015 13:00:00","BZN|FR","Without sequence","48.43","",""
"08/01/2015 13:00:00 - 08/01/2015 14:00:00","BZN|FR","Without sequence","47.21","",""
"08/01/2015 14:00:00 - 08/01/2015 15:00:00","BZN|FR","Without sequence","43.47","",""
"08/01/2015 15:00:00 - 08/01/2015 16:00:00","BZN|FR","Without sequence","38.27","",""
"08/01/2015 16:00:00 - 08/01/2015 17:00:00","BZN|FR","Without sequence","41.07","",""
"08/01/2015 17:00:00 - 08/01/2015 18:00:00","BZN|FR","Without sequence","47.97","",""
"08/01/2015 18:00:00 - 08/01/2015 19:00:00","BZN|FR","Without sequence","51.25","",""
"08/01/2015 19:00:00 - 08/01/2015 20:00:00","BZN|FR","Without sequence","50.31","",""
"08/01/2015 20:00:00 - 08/01/2015 21:00:00","BZN|FR","Without sequence","47.97","",""
"08/01/2015 21:00:00 - 08/01/2015 22:00:00","BZN|FR","Without sequence","40.5","",""
"08/01/2015 22:00:00 - 08/01/2015 23:00:00","BZN|FR","Without sequence","43.8","",""
"08/01/2015 23:00:00 - 09/01/2015 00:00:00","BZN|FR","Without sequence","44.05","",""
"09/01/2015 00:00:00 - 09/01/2015 01:00:00","BZN|FR","Without sequence","32.06","",""
"09/01/2015 01:00:00 - 09/01/2015 02:00:00","BZN|FR","Without sequence","29.71","",""
"09/01/2015 02:00:00 - 09/01/2015 03:00:00","BZN|FR","Without sequence","28.53","",""
"09/01/2015 03:00:00 - 09/01/2015 04:00:00","BZN|FR","Without sequence","23.75","",""
"09/01/2015 04:00:00 - 09/01/2015 05:00:00","BZN|FR","Without sequence","16.05","",""
"09/01/2015 05:00:00 - 09/01/2015 06:00:00","BZN|FR","Without sequence","21.44","",""
"09/01/2015 06:00:00 - 09/01/2015 07:00:00","BZN|FR","Without sequence","31.86","",""
"09/01/2015 07:00:00 - 09/01/2015 08:00:00","BZN|FR","Without sequence","44.0","",""
"09/01/2015 08:00:00 - 09/01/2015 09:00:00","BZN|FR","Without sequence","45.82","",""
"09/01/2015 09:00:00 - 09/01/2015 10:00:00","BZN|FR","Without sequence","45.59","",""
"09/01/2015 10:00:00 - 09/01/2015 11:00:00","BZN|FR","Without sequence","42.52","",""
"09/01/2015 11:00:00 - 09/01/2015 12:00:00","BZN|FR","Without sequence","41.57","",""
"09/01/2015 12:00:00 - 09/01/2015 13:00:00","BZN|FR","Without sequence","41.01","",""
"09/01/2015 13:00:00 - 09/01/2015 14:00:00","BZN|FR","Without sequence","39.24","",""
"09/01/2015 14:00:00 - 09/01/2015 15:00:00","BZN|FR","Without sequence","36.29","",""
