"MTU (CET/CEST)","Area","Sequence","Day-ahead Price (EUR/MWh)","Intraday Period (CET/CEST)","Intraday Price (EUR/MWh)"
"01/01/2016 00:00:00 - 01/01/2016 01:00:00","BZN|IT-North","Without sequence","49.62","",""
"01/01/2016 01:00:00 - 01/01/2016 02:00:00","BZN|IT-North","Without sequence","43.5","",""
"01/01/2016 02:00:00 - 01/01/2016 03:00:00","BZN|IT-North","Without sequence","38.63","",""
"01/01/2016 03:00:00 - 01/01/2016 04:00:00","BZN|IT-North","Without sequence","36.8","",""
"01/01/2016 04:00:00 - 01/01/2016 05:00:00","BZN|IT-North","Without sequence","34.5","",""
"01/01/2016 05:00:00 - 01/01/2016 06:00:00","BZN|IT-North","Without sequence","32.1","",""
"01/01/2016 06:00:00 - 01/01/2016 07:00:00","BZN|IT-North","Without sequence","36.0","",""
"01/01/2016 07:00:00 - 01/01/2016 08:00:00","BZN|IT-North","Without sequence","37.54","",""
"01/01/2016 08:00:00 - 01/01/2016 09:00:00","BZN|IT-North","Without sequence","37.54","",""
"01/01/2016 09:00:00 - 01/01/2016 10:00:00","BZN|IT-North","Without sequence","35.95","",""
"01/01/2016 10:00:00 - 01/01/2016 11:00:00","BZN|IT-North","Without sequence","37.63","",""
"01/01/2016 11:00:00 - 01/01/2016 12:00:00","BZN|IT-North","Without sequence","36.8","",""
"01/01/2016 12:00:00 - 01/01/2016 13:00:00","BZN|IT-North","Without sequence","37.54","",""
"01/01/2016 13:00:00 - 01/01/2016 14:00:00","BZN|IT-North","Without sequence","34.6","",""
"01/01/2016 14:00:00 - 01/01/2016 15:00:00","BZN|IT-North","Without sequence","35.95","",""
"01/01/2016 15:00:00 - 01/01/2016 16:00:00","BZN|IT-North","Without sequence","41.18","",""
"01/01/2016 16:00:00 - 01/01/2016 17:00:00","BZN|IT-North","Without sequence","46.65","",""
"01/01/2016 17:00:00 - 01/01/2016 18:00:00","BZN|IT-North","Without sequence","57.96","",""
"01/01/2016 18:00:00 - 01/01/2016 19:00:00","BZN|IT-North","Without sequence","61.31","",""
"01/01/2016 19:00:00 - 01/01/2016 20:00:00","BZN|IT-North","Without sequence","60.0","",""
"01/01/2016 20:00:00 - 01/01/2016 21:00:00","BZN|IT-North","Without sequence","57.0","",""
"01/01/2016 21:00:00 - 01/01/2016 22:00:00","BZN|IT-North","Without sequence","55.0","",""
"01/01/2016 22:00:00 - 01/01/2016 23:00:00","BZN|IT-North","Without sequence","46.76","",""
