"MTU (CET/CEST)","Area","Sequence","Day-ahead Price (EUR/MWh)","Intraday Period (CET/CEST)","Intraday Price (EUR/MWh)"
"01/01/2016 00:00:00 - 01/01/2016 01:00:00","BZN|FR","Without sequence","23.86","",""
"01/01/2016 01:00:00 - 01/01/2016 02:00:00","BZN|FR","Without sequence","22.39","",""
"01/01/2016 02:00:00 - 01/01/2016 03:00:00","BZN|FR","Without sequence","20.59","",""
"01/01/2016 03:00:00 - 01/01/2016 04:00:00","BZN|FR","Without sequence","16.81","",""
"01/01/2016 04:00:00 - 01/01/2016 05:00:00","BZN|FR","Without sequence","17.41","",""
"01/01/2016 05:00:00 - 01/01/2016 06:00:00","BZN|FR","Without sequence","17.02","",""
"01/01/2016 06:00:00 - 01/01/2016 07:00:00","BZN|FR","Without sequence","15.86","",""
"01/01/2016 07:00:00 - 01/01/2016 08:00:00","BZN|FR","Without sequence","18.16","",""
"01/01/2016 08:00:00 - 01/01/2016 09:00:00","BZN|FR","Without sequence","17.73","",""
"01/01/2016 09:00:00 - 01/01/2016 10:00:00","BZN|FR","Without sequence","19.77","",""
"01/01/2016 10:00:00 - 01/01/2016 11:00:00","BZN|FR","Without sequence","23.75","",""
"01/01/2016 11:00:00 - 01/01/2016 12:00:00","BZN|FR","Without sequence","26.03","",""
"01/01/2016 12:00:00 - 01/01/2016 13:00:00","BZN|FR","Without sequence","27.06","",""
"01/01/2016 13:00:00 - 01/01/2016 14:00:00","BZN|FR","Without sequence","26.59","",""
"01/01/2016 14:00:00 - 01/01/2016 15:00:00","BZN|FR","Without sequence","25.0","",""
"01/01/2016 15:00:00 - 01/01/2016 16:00:00","BZN|FR","Without sequence","20.06","",""
"01/01/2016 16:00:00 - 01/01/2016 17:00:00","BZN|FR","Without sequence","19.43","",""
"01/01/2016 17:00:00 - 01/01/2016 18:00:00","BZN|FR","Without sequence","24.57","",""
"01/01/2016 18:00:00 - 01/01/2016 19:00:00","BZN|FR","Without sequence","33.11","",""
"01/01/2016 19:00:00 - 01/01/2016 20:00:00","BZN|FR","Without sequence","35.34","",""
"01/01/2016 20:00:00 - 01/01/2016 21:00:00","BZN|FR","Without sequence","33.07","",""
"01/01/2016 21:00:00 - 01/01/2016 22:00:00","BZN|FR","Without sequence","29.52","",""
"01/01/2016 22:00:00 - 01/01/2016 23:00:00","BZN|FR","Without sequence","30.1","",""
"01/01/2016 23:00:00 - 02/01/2016 00:00:00","BZN|FR","Without sequence","24.57","",""
"02/01/2016 00:00:00 - 02/01/2016 01:00:00","BZN|FR","Without sequence","22.2","",""
"02/01/2016 01:00:00 - 02/01/2016 02:00:00","BZN|FR","Without sequence","16.57","",""
"02/01/2016 02:00:00 - 02/01/2016 03:00:00","BZN|FR","Without sequence","15.35","",""
"02/01/2016 03:00:00 - 02/01/2016 04:00:00","BZN|FR","Without sequence","12.77","",""
"02/01/2016 04:00:00 - 02/01/2016 05:00:00","BZN|FR","Without sequence","11.27","",""
"02/01/2016 05:00:00 - 02/01/2016 06:00:00","BZN|FR","Without sequence","11.91","",""
"02/01/2016 06:00:00 - 02/01/2016 07:00:00","BZN|FR","Without sequence","12.62","",""
"02/01/2016 07:00:00 - 02/01/2016 08:00:00","BZN|FR","Without sequence","14.17","",""
"02/01/2016 08:00:00 - 02/01/2016 09:00:00","BZN|FR","Without sequence","17.73","",""
"02/01/2016 09:00:00 - 02/01/2016 10:00:00","BZN|FR","Without sequence","20.29","",""
"02/01/2016 10:00:00 - 02/01/2016 11:00:00","BZN|FR","Without sequence","24.3","",""
"02/01/2016 11:00:00 - 02/01/2016 12:00:00","BZN|FR","Without sequence","25.05","",""
"02/01/2016 12:00:00 - 02/01/2016 13:00:00","BZN|FR","Without sequence","29.31","",""
"02/01/2016 13:00:00 - 02/01/2016 14:00:00","BZN|FR","Without sequence","26.31","",""
"02/01/2016 14:00:00 - 02/01/2016 15:00:00","BZN|FR","Without sequence","22.63","",""
"02/01/2016 15:00:00 - 02/01/2016 16:00:00","BZN|FR","Without sequence","19.61","",""
"02/01/2016 16:00:00 - 02/01/2016 17:00:00","BZN|FR","Without sequence","20.65","",""
"02/01/2016 17:00:00 - 02/01/2016 18:00:00","BZN|FR","Without sequence","34.21","",""
"02/01/2016 18:00:00 - 02/01/2016 19:00:00","BZN|FR","Without sequence","42.23","",""
"02/01/2016 19:00:00 - 02/01/2016 20:00:00","BZN|FR","Without sequence","37.36","",""
"02/01/2016 20:00:00 - 02/01/2016 21:00:00","BZN|FR","Without sequence","32.84","",""
"02/01/2016 21:00:00 - 02/01/2016 22:00:00","BZN|FR","Without sequence","26.15","",""
"02/01/2016 22:00:00 - 02/01/2016 23:00:00","BZN|FR","Without sequence","30.62","",""
"02/01/2016 23:00:00 - 03/01/2016 00:00:00","BZN|FR","Without sequence","36.19","",""
"03/01/2016 00:00:00 - 03/01/2016 01:00:00","BZN|FR","Without sequence","19.65","",""
"03/01/2016 01:00:00 - 03/01/2016 02:00:00","BZN|FR","Without sequence","18.91","",""
"03/01/2016 02:00:00 - 03/01/2016 03:00:00","BZN|FR","Without sequence","14.64","",""
"03/01/2016 03:00:00 - 03/01/2016 04:00:00","BZN|FR","Without sequence","10.12","",""
"03/01/2016 04:00:00 - 03/01/2016 05:00:00","BZN|FR","Without sequence","7.14","",""
"03/01/2016 05:00:00 - 03/01/2016 06:00:00","BZN|FR","Without sequence","9.41","",""
"03/01/2016 06:00:00 - 03/01/2016 07:00:00","BZN|FR","Without sequence","4.14","",""
"03/01/2016 07:00:00 - 03/01/2016 08:00:00","BZN|FR","Without sequence","7.08","",""
"03/01/2016 08:00:00 - 03/01/2016 09:00:00","BZN|FR","Without sequence","11.4","",""
"03/01/2016 09:00:00 - 03/01/2016 10:00:00","BZN|FR","Without sequence","17.64","",""
"03/01/2016 10:00:00 - 03/01/2016 11:00:00","BZN|FR","Without sequence","19.99","",""
"03/01/2016 11:00:00 - 03/01/2016 12:00:00","BZN|FR","Without sequence","22.11","",""
"03/01/2016 12:00:00 - 03/01/2016 13:00:00","BZN|FR","Without sequence","22.68","",""
"03/01/2016 13:00:00 - 03/01/2016 14:00:00","BZN|FR","Without sequence","22.0","",""
"03/01/2016 14:00:00 - 03/01/2016 15:00:00","BZN|FR","Without sequence","19.89","",""
"03/01/2016 15:00:00 - 03/01/2016 16:00:00","BZN|FR","Without sequence","17.75","",""
"03/01/2016 16:00:00 - 03/01/2016 17:00:00","BZN|FR","Without sequence","18.76","",""
"03/01/2016 17:00:00 - 03/01/2016 18:00:00","BZN|FR","Without sequence","22.21","",""
"03/01/2016 18:00:00 - 03/01/2016 19:00:00","BZN|FR","Without sequence","26.76","",""
"03/01/2016 19:00:00 - 03/01/2016 20:00:00","BZN|FR","Without sequence","27.23","",""
"03/01/2016 20:00:00 - 03/01/2016 21:00:00","BZN|FR","Without sequence","25.33","",""
"03/01/2016 21:00:00 - 03/01/2016 22:00:00","BZN|FR","Without sequence","22.11","",""
"03/01/2016 22:00:00 - 03/01/2016 23:00:00","BZN|FR","Without sequence","22.57","",""
"03/01/2016 23:00:00 - 04/01/2016 00:00:00","BZN|FR","Without sequence","21.01","",""
"04/01/2016 00:00:00 - 04/01/2016 01:00:00","BZN|FR","Without sequence","13.78","",""
"04/01/2016 01:00:00 - 04/01/2016 02:00:00","BZN|FR","Without sequence","13.44","",""
"04/01/2016 02:00:00 - 04/01/2016 03:00:00","BZN|FR","Without sequence","11.46","",""
"04/01/2016 03:00:00 - 04/01/2016 04:00:00","BZN|FR","Without sequence","5.55","",""
"04/01/2016 04:00:00 - 04/01/2016 05:00:00","BZN|FR","Without sequence","5.0","",""
"04/01/2016 05:00:00 - 04/01/2016 06:00:00","BZN|FR","Without sequence","10.05","",""
"04/01/2016 06:00:00 - 04/01/2016 07:00:00","BZN|FR","Without sequence","19.11","",""
"04/01/2016 07:00:00 - 04/01/2016 08:00:00","BZN|FR","Without sequence","31.44","",""
"04/01/2016 08:00:00 - 04/01/2016 09:00:00","BZN|FR","Without sequence","36.31","",""
"04/01/2016 09:00:00 - 04/01/2016 10:00:00","BZN|FR","Without sequence","33.46","",""
"04/01/2016 10:00:00 - 04/01/2016 11:00:00","BZN|FR","Without sequence","33.24","",""
"04/01/2016 11:00:00 - 04/01/2016 12:00:00","BZN|FR","Without sequence","35.09","",""
"04/01/2016 12:00:00 - 04/01/2016 13:00:00","BZN|FR","Without sequence","35.0","",""
"04/01/2016 13:00:00 - 04/01/2016 14:00:00","BZN|FR","Without sequence","35.0","",""
"04/01/2016 14:00:00 - 04/01/2016 15:00:00","BZN|FR","Without sequence","34.94","",""
"04/01/2016 15:00:00 - 04/01/2016 16:00:00","BZN|FR","Without sequence","34.92","",""
"04/01/2016 16:00:00 - 04/01/2016 17:00:00","BZN|FR","Without sequence","38.0","",""
